# 
# by column: 
# energy [GeV], 
# 3 sigma lower/upper limit for cutoff at z=1
# 3 sigma lower/upper limit for flat evo above z=1
# 3 sigma lower/upper limit for citoff at z=3
# all fluxes in [GeV^-1 cm^-1 s^-1 sr^-1]
# 
5.097406e+04 1.602791e-23 4.629530e-22 2.449531e-23 3.519222e-21 1.814713e-23 3.391628e-20
5.478625e+04 1.668245e-23 5.075862e-22 2.479703e-23 3.593818e-21 1.877886e-23 3.395792e-20
5.888354e+04 1.736448e-23 5.565299e-22 2.505152e-23 3.674473e-21 1.943323e-23 3.399962e-20
6.328725e+04 1.798767e-23 6.102009e-22 2.530908e-23 3.756939e-21 1.992795e-23 3.404137e-20
6.802031e+04 1.857548e-23 6.554834e-22 2.563023e-23 3.814159e-21 2.047536e-23 3.384629e-20
7.310733e+04 1.922933e-23 6.898373e-22 2.601734e-23 3.853787e-21 2.108490e-23 3.341833e-20
7.857479e+04 1.990707e-23 7.259932e-22 2.641077e-23 3.893827e-21 2.171335e-23 3.299581e-20
8.445115e+04 2.060959e-23 7.640457e-22 2.681063e-23 3.934283e-21 2.236129e-23 3.259330e-20
9.076698e+04 2.127586e-23 7.938108e-22 2.718636e-23 3.945269e-21 2.297112e-23 3.204538e-20
9.755516e+04 2.190291e-23 8.145633e-22 2.753785e-23 3.927599e-21 2.354068e-23 3.135893e-20
1.048510e+05 2.254912e-23 8.358585e-22 2.789426e-23 3.910010e-21 2.412494e-23 3.073288e-20
1.126925e+05 2.321508e-23 8.577106e-22 2.825568e-23 3.892503e-21 2.472430e-23 3.014293e-20
1.211204e+05 2.374234e-23 8.718051e-22 2.849377e-23 3.845687e-21 2.518331e-23 2.941881e-20
1.301786e+05 2.413186e-23 8.783358e-22 2.807445e-23 3.772660e-21 2.550463e-23 2.856056e-20
1.399142e+05 2.390125e-23 8.849156e-22 2.727489e-23 3.701030e-21 2.502224e-23 2.772752e-20
1.503780e+05 2.340986e-23 8.915446e-22 2.649930e-23 3.630770e-21 2.444552e-23 2.691895e-20
1.616243e+05 2.288211e-23 8.898149e-22 2.571334e-23 3.533523e-21 2.383627e-23 2.597025e-20
1.737116e+05 2.232549e-23 8.809328e-22 2.492245e-23 3.414399e-21 2.320213e-23 2.491455e-20
1.867030e+05 2.178326e-23 8.730420e-22 2.415665e-23 3.299317e-21 2.258567e-23 2.390211e-20
2.006659e+05 2.125503e-23 8.661975e-22 2.341512e-23 3.188142e-21 2.198637e-23 2.293115e-20
2.156730e+05 2.065386e-23 8.512473e-22 2.262195e-23 3.054780e-21 2.131957e-23 2.182513e-20
2.318025e+05 1.999794e-23 8.295462e-22 2.179375e-23 2.908906e-21 2.060335e-23 2.063051e-20
2.491383e+05 1.936332e-23 8.088931e-22 2.099630e-23 2.786430e-21 1.991163e-23 1.950192e-20
2.677706e+05 1.874927e-23 7.891898e-22 2.022845e-23 2.669582e-21 1.924356e-23 1.843987e-20
2.877963e+05 1.805330e-23 7.608878e-22 1.939487e-23 2.534636e-21 1.849944e-23 1.726760e-20
3.093196e+05 1.730237e-23 7.264080e-22 1.852118e-23 2.388544e-21 1.770575e-23 1.602866e-20
3.324527e+05 1.658294e-23 6.934998e-22 1.768713e-23 2.250945e-21 1.694638e-23 1.487969e-20
3.573157e+05 1.589368e-23 6.620914e-22 1.689091e-23 2.121344e-21 1.621984e-23 1.381414e-20
3.840383e+05 1.513300e-23 6.244795e-22 1.603397e-23 1.979686e-21 1.542663e-23 1.267323e-20
4.127593e+05 1.433291e-23 5.833152e-22 1.514754e-23 1.833079e-21 1.459818e-23 1.155544e-20
4.436282e+05 1.351796e-23 5.448811e-22 1.421809e-23 1.697439e-21 1.374884e-23 1.053774e-20
4.768057e+05 1.269512e-23 5.089958e-22 1.332290e-23 1.571943e-21 1.290135e-23 9.611135e-21
5.124645e+05 1.183137e-23 4.699948e-22 1.239387e-23 1.439705e-21 1.201634e-23 8.631349e-21
5.507901e+05 1.096160e-23 4.306666e-22 1.146553e-23 1.307457e-21 1.112816e-23 7.660608e-21
5.919819e+05 1.015622e-23 3.946521e-22 1.060730e-23 1.187512e-21 1.030613e-23 6.801313e-21
6.362544e+05 9.410483e-24 3.616714e-22 9.813877e-24 1.078721e-21 9.545316e-24 6.040599e-21
6.838378e+05 8.643662e-24 3.280405e-22 9.003309e-24 9.673721e-22 8.765011e-24 5.270496e-21
7.349799e+05 7.888234e-24 2.969287e-22 8.208277e-24 8.593716e-22 7.997555e-24 4.557006e-21
7.899467e+05 7.199419e-24 2.687914e-22 7.484181e-24 7.636385e-22 7.297927e-24 3.945621e-21
8.490243e+05 6.571332e-24 2.433436e-22 6.824673e-24 6.787729e-22 6.660120e-24 3.419096e-21
9.125201e+05 5.942958e-24 2.177851e-22 6.167444e-24 5.942907e-22 6.022709e-24 2.909175e-21
9.807646e+05 5.339670e-24 1.933282e-22 5.538127e-24 5.170266e-22 5.411156e-24 2.445275e-21
1.054113e+06 4.798356e-24 1.716472e-22 4.973923e-24 4.500800e-22 4.862480e-24 2.059161e-21
