Trace
Swept SA
A.10.04,N9000A
135008190,4.87026317209179
136508181,4.89041490696957
138008172,4.90454604194729
139508163,4.91942975191256
141008154,4.92578427868615
142508145,4.92912850550971
144008136,4.93172015734579
145508127,4.93556610082771
147008118,4.93640174435963
148508109,4.93347451295403
150008100,4.93456101481514
151508091,4.93213550006788
153008082,4.92619796871228
154508073,4.92101301234421
156008064,4.90529200615112
157508055,4.90060876644139
159008046,4.88614205189413
160508037,4.87042104570104
162008028,4.86072063940793
163508019,4.85127109144402
165008010,4.84006553517594
166508001,4.83187027885786
168007992,4.82417673919812
169507983,4.81422547457585
171007974,4.80402335162443
172507965,4.80209955353551
174007956,4.78134929539555
175507947,4.75407222771744
177007938,4.72353400176018
178507929,4.69901637570291
180007920,4.6724918830123
181507911,4.64747254029669
183007902,4.62370748922691
184507893,4.60044415481547
186007884,4.58244884531655
187507875,4.56319924417178
189007866,4.54859402946659
190507857,4.53309735370665
192007848,4.51785153627585
193507839,4.50461258547841
195007830,4.49739423458098
196507821,4.48841987537935
198007812,4.48019809116523
199507803,4.47599004021778
201007794,4.46300194774948
202507785,4.44984102893619
204007776,4.41447564575522
205507767,4.37384223766174
207007758,4.33772427949326
208507749,4.30361318795812
210007740,4.27351582968963
211507731,4.24116074645867
213007722,4.21206682150684
214507713,4.17895916328838
216007704,4.14785837170324
217507695,4.12077131338476
219007686,4.08666022184959
220507677,4.0575662968978
222007668,4.02897408860431
223507659,3.99511385539834
225007650,3.95924675555904
226507641,3.91886420579472
228007632,3.88525483091792
229507623,3.85289974768695
231007614,3.81728350617681
232507605,3.782168981325
234007596,3.75006475642318
235507587,3.71745881486304
237007578,3.68435115664455
238507569,3.64898577346357
240007560,3.61412210694093
241507551,3.58251959869747
243007542,3.53461129905814
244507533,3.49247274098968
246007524,3.4525919078837
247507515,3.41321279143605
249007506,3.36329762516341
250507497,3.31890134213242
252007488,3.28027480067228
253507479,3.23374430846604
255007470,3.19856648045939
256507461,3.16113092749024
258007452,3.1272073911294
259507443,3.08550724656443
261007434,3.04531225197441
262507425,3.00586983237195
264007416,2.96567483778193
265507407,2.92623241817947
267007398,2.88202369032281
268507389,2.84107612074532
270007380,2.79736910954699
271507371,2.75817754827366
273007362,2.71572482872117
274507353,2.67879099241035
276007344,2.63056853128704
277507335,2.58535637011371
279007326,2.54415794220705
280507317,2.4939286144504
282007308,2.44252310226393
283507299,2.41409527868007
285007290,2.38190458015868
286507281,2.3559853398665
288007272,2.32529979132012
289507263,2.28909535953208
291007254,2.25941324430239
292507245,2.23073456238932
294007236,2.19327583895547
295507227,2.16685488200493
297007218,2.13215560019187
298507209,2.10698893488719
300007200,2.07429651970746
301507191,2.04110238786944
303007182,2.00916254767724
304507173,1.98374502404337
306007164,1.95230690050948
307507155,1.91384474375894
309007146,1.88190490356675
310507137,1.84996506337452
312007128,1.81892685314317
313507119,1.79533791843879
315007110,1.75719920064278
316507101,1.72834224102589
318007092,1.69747841477569
319507083,1.66987574680464
321007074,1.63198788733779
322507065,1.59485260285841
324007056,1.55470701842903
325507047,1.52660263379967
327007038,1.49373194091613
328507029,1.46061038970343
330007020,1.42146823859071
331507011,1.382326087478
333007002,1.35346912786114
334506993,1.31633384338176
336006984,1.28170714219403
337506975,1.24507357437301
339006966,1.20969429819781
340506957,1.16979957209759
342006948,1.13968832083489
343506939,1.10330561134302
345006930,1.06792633516781
346506921,1.03229620066344
348006912,0.997418641146565
349506903,0.960283356667188
351006894,0.934436697000333
352506885,0.900562570800129
354006876,0.869698744549903
355506867,0.833065176728888
357006858,0.806465942074504
358506849,0.78237529071179
360006840,0.755274339399071
361506831,0.728424246415548
363006822,0.703330161736166
364506813,0.678236077056812
366006804,0.65941345060661
367506795,0.637580524206401
369006786,0.614493306160356
370506777,0.600436987964329
372006768,0.580610928197429
373506759,0.565300318355566
375006750,0.547982841880367
376506741,0.529411073759331
378006732,0.510839305638295
379506723,0.502301870683917
381006714,0.485987827525386
382506705,0.47092807601269
384006696,0.457417301281191
385506687,0.437288915247422
387006678,0.4219268374678
388506669,0.412083642929828
390006660,0.399230148441907
391506651,0.38436978732062
393006642,0.372770584478506
394506633,0.366941123207237
396006624,0.357348786998461
397506615,0.342990142535508
399006606,0.328380639743388
400506597,0.3152762869263
402006588,0.295900475880004
403506579,0.274016081542065
405006570,0.248870528924953
406506561,0.219460384711999
408006552,0.191555390474049
409506543,0.171176146111113
411006534,0.137501410302346
412506525,0.102572382847715
414006516,0.0706536553431177
415506507,0.0377314945218238
417006498,0.00581276701722711
418506489,-0.0158207689915733
420006480,-0.0484920714836716
421506471,-0.082417665621634
423006462,-0.111326093176225
424506453,-0.135969929135003
426006444,-0.155847456839633
427506435,-0.186511892698394
429006426,-0.20764371204886
430506417,-0.231033256361801
432006408,-0.24764962578723
433506399,-0.259750545287707
435006390,-0.277621206358971
436506381,-0.28069122600943
438006372,-0.290785278876513
439506363,-0.294357015185306
441006354,-0.294918451544065
442506345,-0.288706713015367
444006336,-0.285003557778313
445506327,-0.290833019049582
447006318,-0.284119563862522
448506309,-0.270382075458809
450006300,-0.266177203563421
451506291,-0.254446581793046
453006282,-0.241712526705974
454506273,-0.223961305035587
456006264,-0.209972958302707
457506255,-0.194479461594825
459006246,-0.174470514961934
460506237,-0.155465001645711
462006228,-0.130188030100309
463506219,-0.107670500175775
465006210,-0.0826443869595406
466506201,-0.0596251403766718
468006192,-0.0335955938437686
469506183,-0.009071197285897
471006174,0.0187143575511762
472506165,0.0397267375007361
474006156,0.069268300641951
475506147,0.0802463474248529
477006138,0.102763877349387
478506129,0.12528140727395
480006120,0.146293787223482
481506111,0.167557025502209
483006102,0.18305052221012
484506093,0.207073202109657
486006084,0.222817557146735
487506075,0.236555045550447
489006066,0.254055408891667
490506057,0.270050622257884
492006048,0.28153038569912
493506039,0.292508432481994
495006030,0.297716737694051
496506021,0.321739417593588
498006012,0.323937422855668
499506003,0.343946369488531
501005994,0.350158108017257
502505985,0.352857829937643
504005976,0.364337593378879
505505967,0.369295040261769
507005958,0.382092175777936
508505949,0.397674986145713
510005940,0.420532688059338
511505931,0.437620648402119
513005922,0.455461183732401
514505913,0.471545710758484
516005904,0.491894829380437
517505895,0.500704464860702
519005886,0.509514100340994
520505877,0.514310002554612
522005868,0.52462478800988
523505859,0.521644082019344
525005850,0.530704575828775
526505841,0.53223931976322
528005832,0.529760330430991
