"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+007, -2.41087067170E+001, +0.00000000000E+000
+1.49500000000E+007, -1.30997120856E+002, +0.00000000000E+000
+1.99000000000E+007, -1.12885439658E+002, +0.00000000000E+000
+2.48500000000E+007, -6.02098657470E+001, +0.00000000000E+000
+2.98000000000E+007, -6.20424335963E+001, +0.00000000000E+000
+3.47500000000E+007, -1.60320826777E+002, +0.00000000000E+000
+3.97000000000E+007, +8.71686577294E+001, +0.00000000000E+000
+4.46500000000E+007, -8.12069556283E+001, +0.00000000000E+000
+4.96000000000E+007, +1.32767345366E+002, +0.00000000000E+000
+5.45500000000E+007, +2.43680404371E+001, +0.00000000000E+000
+5.95000000000E+007, -6.94635775728E+001, +0.00000000000E+000
+6.44500000000E+007, -1.51229628430E+002, +0.00000000000E+000
+6.94000000000E+007, +1.41768013884E+002, +0.00000000000E+000
+7.43500000000E+007, +8.59406904810E+001, +0.00000000000E+000
+7.93000000000E+007, +3.68883082293E+001, +0.00000000000E+000
+8.42500000000E+007, -8.11574467848E+000, +0.00000000000E+000
+8.92000000000E+007, -5.06162385642E+001, +0.00000000000E+000
+9.41500000000E+007, -9.14387379159E+001, +0.00000000000E+000
+9.91000000000E+007, -1.31149848831E+002, +0.00000000000E+000
+1.04050000000E+008, -1.70282133371E+002, +0.00000000000E+000
+1.09000000000E+008, +1.51041608737E+002, +0.00000000000E+000
+1.13950000000E+008, +1.12669443830E+002, +0.00000000000E+000
+1.18900000000E+008, +7.46869219086E+001, +0.00000000000E+000
+1.23850000000E+008, +3.71249276253E+001, +0.00000000000E+000
+1.28800000000E+008, +2.03339760678E-001, +0.00000000000E+000
+1.33750000000E+008, -3.61386000490E+001, +0.00000000000E+000
+1.38700000000E+008, -7.18648215551E+001, +0.00000000000E+000
+1.43650000000E+008, -1.06880065159E+002, +0.00000000000E+000
+1.48600000000E+008, -1.41153279562E+002, +0.00000000000E+000
+1.53550000000E+008, -1.74686860178E+002, +0.00000000000E+000
+1.58500000000E+008, +1.52702195361E+002, +0.00000000000E+000
+1.63450000000E+008, +1.20632828036E+002, +0.00000000000E+000
