"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.42771500000E+008, +5.07387552303E+000, +0.00000000000E+000
+1.44271200000E+008, +5.06972620515E+000, +0.00000000000E+000
+1.45770900000E+008, +5.07189142407E+000, +0.00000000000E+000
+1.47270600000E+008, +5.07454607708E+000, +0.00000000000E+000
+1.48770300000E+008, +5.08329948238E+000, +0.00000000000E+000
+1.50270000000E+008, +5.09174764851E+000, +0.00000000000E+000
+1.51769700000E+008, +5.10310064345E+000, +0.00000000000E+000
+1.53269400000E+008, +5.11675711014E+000, +0.00000000000E+000
+1.54769100000E+008, +5.13159916805E+000, +0.00000000000E+000
+1.56268800000E+008, +5.14996379057E+000, +0.00000000000E+000
+1.57768500000E+008, +5.16834252802E+000, +0.00000000000E+000
+1.59268200000E+008, +5.18942639746E+000, +0.00000000000E+000
+1.60767900000E+008, +5.21011628113E+000, +0.00000000000E+000
+1.62267600000E+008, +5.23250169743E+000, +0.00000000000E+000
+1.63767300000E+008, +5.25644644118E+000, +0.00000000000E+000
+1.65267000000E+008, +5.27826412333E+000, +0.00000000000E+000
+1.66766700000E+008, +5.30223574454E+000, +0.00000000000E+000
+1.68266400000E+008, +5.32671253571E+000, +0.00000000000E+000
+1.69766100000E+008, +5.35121762798E+000, +0.00000000000E+000
+1.71265800000E+008, +5.37632329352E+000, +0.00000000000E+000
+1.72765500000E+008, +5.39950896998E+000, +0.00000000000E+000
+1.74265200000E+008, +5.42591972854E+000, +0.00000000000E+000
+1.75764900000E+008, +5.44942174819E+000, +0.00000000000E+000
+1.77264600000E+008, +5.47477501597E+000, +0.00000000000E+000
+1.78764300000E+008, +5.49921298564E+000, +0.00000000000E+000
+1.80264000000E+008, +5.52615938636E+000, +0.00000000000E+000
+1.81763700000E+008, +5.55240348590E+000, +0.00000000000E+000
+1.83263400000E+008, +5.58024765218E+000, +0.00000000000E+000
+1.84763100000E+008, +5.60778262339E+000, +0.00000000000E+000
+1.86262800000E+008, +5.63787395180E+000, +0.00000000000E+000
+1.87762500000E+008, +5.66708277320E+000, +0.00000000000E+000
+1.89262200000E+008, +5.69678654555E+000, +0.00000000000E+000
+1.90761900000E+008, +5.72668450272E+000, +0.00000000000E+000
+1.92261600000E+008, +5.75757730266E+000, +0.00000000000E+000
+1.93761300000E+008, +5.78634980258E+000, +0.00000000000E+000
+1.95261000000E+008, +5.81691019315E+000, +0.00000000000E+000
+1.96760700000E+008, +5.84998225993E+000, +0.00000000000E+000
+1.98260400000E+008, +5.88148238470E+000, +0.00000000000E+000
+1.99760100000E+008, +5.91325834168E+000, +0.00000000000E+000
+2.01259800000E+008, +5.94688207832E+000, +0.00000000000E+000
+2.02759500000E+008, +5.97772279778E+000, +0.00000000000E+000
+2.04259200000E+008, +6.00758650857E+000, +0.00000000000E+000
+2.05758900000E+008, +6.03671567790E+000, +0.00000000000E+000
+2.07258600000E+008, +6.06572535807E+000, +0.00000000000E+000
+2.08758300000E+008, +6.09450793004E+000, +0.00000000000E+000
+2.10258000000E+008, +6.12351884211E+000, +0.00000000000E+000
+2.11757700000E+008, +6.15143891727E+000, +0.00000000000E+000
+2.13257400000E+008, +6.17717093656E+000, +0.00000000000E+000
+2.14757100000E+008, +6.20197740828E+000, +0.00000000000E+000
+2.16256800000E+008, +6.22779552683E+000, +0.00000000000E+000
+2.17756500000E+008, +6.25365480693E+000, +0.00000000000E+000
+2.19256200000E+008, +6.27942404622E+000, +0.00000000000E+000
+2.20755900000E+008, +6.30465925044E+000, +0.00000000000E+000
+2.22255600000E+008, +6.32786673768E+000, +0.00000000000E+000
+2.23755300000E+008, +6.35318707140E+000, +0.00000000000E+000
+2.25255000000E+008, +6.37636426331E+000, +0.00000000000E+000
+2.26754700000E+008, +6.40256327030E+000, +0.00000000000E+000
+2.28254400000E+008, +6.42550841781E+000, +0.00000000000E+000
+2.29754100000E+008, +6.44946172366E+000, +0.00000000000E+000
+2.31253800000E+008, +6.47287642865E+000, +0.00000000000E+000
+2.32753500000E+008, +6.49728214322E+000, +0.00000000000E+000
+2.34253200000E+008, +6.52218257135E+000, +0.00000000000E+000
+2.35752900000E+008, +6.54944544194E+000, +0.00000000000E+000
+2.37252600000E+008, +6.57779410161E+000, +0.00000000000E+000
+2.38752300000E+008, +6.60581589314E+000, +0.00000000000E+000
+2.40252000000E+008, +6.63432666274E+000, +0.00000000000E+000
+2.41751700000E+008, +6.66386244268E+000, +0.00000000000E+000
+2.43251400000E+008, +6.69198077153E+000, +0.00000000000E+000
+2.44751100000E+008, +6.72294322286E+000, +0.00000000000E+000
+2.46250800000E+008, +6.75321876757E+000, +0.00000000000E+000
+2.47750500000E+008, +6.78292064615E+000, +0.00000000000E+000
+2.49250200000E+008, +6.81137481297E+000, +0.00000000000E+000
+2.50749900000E+008, +6.84146951129E+000, +0.00000000000E+000
+2.52249600000E+008, +6.86956846136E+000, +0.00000000000E+000
+2.53749300000E+008, +6.90290961980E+000, +0.00000000000E+000
+2.55249000000E+008, +6.93425293155E+000, +0.00000000000E+000
+2.56748700000E+008, +6.96958862751E+000, +0.00000000000E+000
+2.58248400000E+008, +7.00347309906E+000, +0.00000000000E+000
+2.59748100000E+008, +7.03858076450E+000, +0.00000000000E+000
+2.61247800000E+008, +7.07083797194E+000, +0.00000000000E+000
+2.62747500000E+008, +7.10394022210E+000, +0.00000000000E+000
+2.64247200000E+008, +7.13661582765E+000, +0.00000000000E+000
+2.65746900000E+008, +7.16981273238E+000, +0.00000000000E+000
+2.67246600000E+008, +7.20287178024E+000, +0.00000000000E+000
+2.68746300000E+008, +7.23624577488E+000, +0.00000000000E+000
+2.70246000000E+008, +7.26858239759E+000, +0.00000000000E+000
+2.71745700000E+008, +7.30379508927E+000, +0.00000000000E+000
+2.73245400000E+008, +7.33577469976E+000, +0.00000000000E+000
+2.74745100000E+008, +7.36482495227E+000, +0.00000000000E+000
+2.76244800000E+008, +7.39477658127E+000, +0.00000000000E+000
+2.77744500000E+008, +7.42717035590E+000, +0.00000000000E+000
+2.79244200000E+008, +7.45753524357E+000, +0.00000000000E+000
+2.80743900000E+008, +7.49059733897E+000, +0.00000000000E+000
+2.82243600000E+008, +7.52066821455E+000, +0.00000000000E+000
+2.83743300000E+008, +7.55294056461E+000, +0.00000000000E+000
+2.85243000000E+008, +7.58384778254E+000, +0.00000000000E+000
+2.86742700000E+008, +7.61097451254E+000, +0.00000000000E+000
+2.88242400000E+008, +7.63746389979E+000, +0.00000000000E+000
+2.89742100000E+008, +7.66432427307E+000, +0.00000000000E+000
+2.91241800000E+008, +7.68931033286E+000, +0.00000000000E+000
+2.92741500000E+008, +7.71334586771E+000, +0.00000000000E+000
+2.94241200000E+008, +7.73550226680E+000, +0.00000000000E+000
+2.95740900000E+008, +7.75613969154E+000, +0.00000000000E+000
+2.97240600000E+008, +7.77530169044E+000, +0.00000000000E+000
+2.98740300000E+008, +7.79436258765E+000, +0.00000000000E+000
+3.00240000000E+008, +7.80849022530E+000, +0.00000000000E+000
+3.01739700000E+008, +7.82426472097E+000, +0.00000000000E+000
+3.03239400000E+008, +7.83748549638E+000, +0.00000000000E+000
+3.04739100000E+008, +7.84841363715E+000, +0.00000000000E+000
+3.06238800000E+008, +7.85856869364E+000, +0.00000000000E+000
+3.07738500000E+008, +7.86669842693E+000, +0.00000000000E+000
+3.09238200000E+008, +7.87300783108E+000, +0.00000000000E+000
+3.10737900000E+008, +7.88044015247E+000, +0.00000000000E+000
+3.12237600000E+008, +7.88639843527E+000, +0.00000000000E+000
+3.13737300000E+008, +7.89191136953E+000, +0.00000000000E+000
+3.15237000000E+008, +7.89476119078E+000, +0.00000000000E+000
+3.16736700000E+008, +7.89264749084E+000, +0.00000000000E+000
+3.18236400000E+008, +7.89296886561E+000, +0.00000000000E+000
+3.19736100000E+008, +7.88830952065E+000, +0.00000000000E+000
+3.21235800000E+008, +7.88270982005E+000, +0.00000000000E+000
+3.22735500000E+008, +7.87338499102E+000, +0.00000000000E+000
+3.24235200000E+008, +7.85942539510E+000, +0.00000000000E+000
+3.25734900000E+008, +7.84606152896E+000, +0.00000000000E+000
+3.27234600000E+008, +7.82631501042E+000, +0.00000000000E+000
+3.28734300000E+008, +7.80674761486E+000, +0.00000000000E+000
+3.30234000000E+008, +7.78202411120E+000, +0.00000000000E+000
+3.31733700000E+008, +7.75567510669E+000, +0.00000000000E+000
+3.33233400000E+008, +7.72739098952E+000, +0.00000000000E+000
+3.34733100000E+008, +7.69597566559E+000, +0.00000000000E+000
+3.36232800000E+008, +7.66275399805E+000, +0.00000000000E+000
+3.37732500000E+008, +7.62810071794E+000, +0.00000000000E+000
+3.39232200000E+008, +7.59019444348E+000, +0.00000000000E+000
+3.40731900000E+008, +7.54927058962E+000, +0.00000000000E+000
+3.42231600000E+008, +7.50795267117E+000, +0.00000000000E+000
+3.43731300000E+008, +7.46347599483E+000, +0.00000000000E+000
+3.45231000000E+008, +7.42052307288E+000, +0.00000000000E+000
+3.46730700000E+008, +7.37468820722E+000, +0.00000000000E+000
+3.48230400000E+008, +7.32818358032E+000, +0.00000000000E+000
+3.49730100000E+008, +7.28018632907E+000, +0.00000000000E+000
+3.51229800000E+008, +7.23005780704E+000, +0.00000000000E+000
+3.52729500000E+008, +7.17909543321E+000, +0.00000000000E+000
+3.54229200000E+008, +7.12619549305E+000, +0.00000000000E+000
+3.55728900000E+008, +7.07380225723E+000, +0.00000000000E+000
+3.57228600000E+008, +7.01815799777E+000, +0.00000000000E+000
+3.58728300000E+008, +6.96222584356E+000, +0.00000000000E+000
+3.60228000000E+008, +6.90494772070E+000, +0.00000000000E+000
+3.61727700000E+008, +6.84473421187E+000, +0.00000000000E+000
+3.63227400000E+008, +6.78371433745E+000, +0.00000000000E+000
+3.64727100000E+008, +6.72239057450E+000, +0.00000000000E+000
+3.66226800000E+008, +6.66343842785E+000, +0.00000000000E+000
+3.67726500000E+008, +6.60225181358E+000, +0.00000000000E+000
+3.69226200000E+008, +6.54122324769E+000, +0.00000000000E+000
