# 
# column 1: log10(energy) [log10(GeV)]
# column 2: E^2 * best fit flux [GeV cm^-2 s^-1 sr^-1]
# column 3: E^2 * max flux      [GeV cm^-2 s^-1 sr^-1]
# column 4: E^2 * min flux      [GeV cm^-2 s^-1 sr^-1]
# All fluxes single flavor!
# 
2.238721138568337634e+07 2.662590000000000005e-09 5.106809999999999656e-09 3.864499999999999942e-12
2.818382931264454871e+07 2.256969999999999910e-09 4.160240000000000101e-09 3.711160000000000112e-12
3.548133892335753143e+07 1.853249999999999985e-09 3.334159999999999992e-09 3.527389999999999977e-12
4.466835921509634703e+07 1.461909999999999970e-09 2.609249999999999856e-09 3.261749999999999910e-12
5.623413251903490722e+07 1.146819999999999975e-09 2.054799999999999977e-09 2.995979999999999922e-12
7.079457843841373920e+07 8.954039999999999615e-10 1.615219999999999929e-09 2.709740000000000124e-12
8.912509381337459385e+07 6.981209999999999718e-10 1.257470000000000001e-09 2.411869999999999900e-12
1.122018454301965237e+08 5.438510000000000486e-10 9.592239999999999541e-10 2.116260000000000113e-12
1.412537544622755349e+08 4.092109999999999841e-10 6.851600000000000411e-10 1.794480000000000044e-12
1.778279410038922727e+08 2.981700000000000157e-10 4.580919999999999831e-10 1.495949999999999901e-12
2.238721138568337858e+08 2.028399999999999944e-10 2.809330000000000058e-10 1.208719999999999923e-12
2.818382931264449358e+08 1.272140000000000014e-10 1.917809999999999915e-10 9.500099999999999071e-13
3.548133892335760593e+08 7.268900000000000097e-11 1.207309999999999887e-10 7.262739999999999808e-13
4.466835921509634852e+08 3.744679999999999832e-11 6.838189999999999885e-11 5.282189999999999730e-13
5.623413251903491020e+08 1.778770000000000104e-11 3.538909999999999751e-11 3.690159999999999899e-13
7.079457843841372728e+08 7.740260000000000382e-12 1.658710000000000068e-11 2.418610000000000132e-13
8.912509381337441206e+08 3.211260000000000193e-12 7.327590000000000284e-12 1.518490000000000076e-13
1.122018454301965237e+09 1.250780000000000048e-12 3.008399999999999985e-12 8.872689999999999425e-14
1.412537544622755527e+09 4.646050000000000181e-13 1.166329999999999939e-12 4.822159999999999771e-14
1.778279410038922787e+09 1.656440000000000008e-13 4.305049999999999917e-13 2.419679999999999907e-14
2.238721138568337917e+09 5.515810000000000304e-14 1.477839999999999891e-13 9.128999999999999837e-15
2.818382931264449120e+09 1.209800000000000055e-14 3.331160000000000116e-14 1.822539999999999832e-15
3.548133892335760593e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.466835921509634972e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
5.623413251903491020e+09 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
