#
# column 1: log10(energy) [log10(GeV)]
# column 2: E^2 * best fit flux [GeV cm^-2 s^-1 sr^-1]
# column 3: E^2 * max flux      [GeV cm^-2 s^-1 sr^-1]
# column 4: E^2 * min flux      [GeV cm^-2 s^-1 sr^-1]
# All fluxes single flavor!
#
1.122018454301962862e+06 6.882239999999999594e-09 1.136649999999999957e-08 1.347000000000000001e-09
1.412537544622755377e+06 7.036569999999999825e-09 1.152050000000000049e-08 1.376130000000000086e-09
1.778279410038922913e+06 7.267629999999999645e-09 1.174730000000000058e-08 1.425239999999999930e-09
2.238721138568338007e+06 7.222140000000000043e-09 1.147430000000000038e-08 1.426960000000000002e-09
2.818382931264454965e+06 7.099100000000000021e-09 1.104280000000000079e-08 1.421610000000000016e-09
3.548133892335752957e+06 6.820099999999999641e-09 1.036420000000000025e-08 1.392710000000000043e-09
4.466835921509634703e+06 6.232769999999999767e-09 9.246020000000000296e-09 1.306929999999999953e-09
5.623413251903491095e+06 5.620810000000000156e-09 8.171580000000000437e-09 1.213399999999999966e-09
7.079457843841372989e+06 4.966719999999999988e-09 7.116479999999999810e-09 1.104740000000000054e-09
8.912509381337458268e+06 4.290359999999999648e-09 6.110219999999999606e-09 9.788349999999999601e-10
1.122018454301963001e+07 3.667770000000000043e-09 5.229320000000000301e-09 8.509269999999999506e-10
1.412537544622755423e+07 3.160840000000000016e-09 4.527730000000000039e-09 7.381210000000000405e-10
1.778279410038922727e+07 2.678060000000000159e-09 3.844340000000000396e-09 6.244570000000000078e-10
2.238721138568337634e+07 2.333979999999999834e-09 3.333549999999999929e-09 5.424319999999999731e-10
2.818382931264454871e+07 1.952330000000000019e-09 2.738090000000000003e-09 4.549730000000000066e-10
3.548133892335753143e+07 1.657680000000000008e-09 2.252089999999999820e-09 3.924869999999999806e-10
4.466835921509634703e+07 1.302779999999999920e-09 1.690210000000000101e-09 3.197549999999999985e-10
5.623413251903490722e+07 9.763500000000000457e-10 1.198870000000000018e-09 2.534389999999999972e-10
7.079457843841373920e+07 6.859890000000000183e-10 7.924729999999999785e-10 1.919570000000000021e-10
8.912509381337459385e+07 4.465389999999999818e-10 4.864990000000000175e-10 1.358470000000000015e-10
1.122018454301965237e+08 2.725450000000000137e-10 2.814290000000000215e-10 9.043400000000000018e-11
1.412537544622755349e+08 1.550589999999999967e-10 1.550589999999999967e-10 5.571069999999999767e-11
1.778279410038922727e+08 8.248060000000000622e-11 8.248060000000000622e-11 3.160430000000000014e-11
2.238721138568337858e+08 4.263139999999999947e-11 4.263139999999999947e-11 1.706489999999999850e-11
2.818382931264449358e+08 2.044720000000000036e-11 2.044720000000000036e-11 8.331199999999999882e-12
3.548133892335760593e+08 9.804830000000000743e-12 9.804830000000000743e-12 3.953899999999999944e-12
4.466835921509634852e+08 4.525929999999999881e-12 4.532330000000000338e-12 1.743459999999999924e-12
5.623413251903491020e+08 2.055159999999999898e-12 2.178279999999999883e-12 7.274819999999999894e-13
7.079457843841372728e+08 9.305679999999999987e-13 1.047100000000000052e-12 2.909379999999999766e-13
8.912509381337441206e+08 4.188080000000000164e-13 4.963819999999999947e-13 1.109360000000000056e-13
1.122018454301965237e+09 1.861100000000000016e-13 2.275669999999999935e-13 4.084549999999999999e-14
1.412537544622755527e+09 7.713390000000000013e-14 9.507019999999999460e-14 1.403359999999999990e-14
1.778279410038922787e+09 2.742759999999999942e-14 3.349510000000000108e-14 4.263039999999999947e-15
2.238721138568337917e+09 7.836480000000000678e-15 9.351749999999999759e-15 1.068300000000000024e-15
2.818382931264449120e+09 1.279349999999999973e-15 1.478609999999999980e-15 1.580860000000000014e-16
