# V_in, V_out
1.200000000000000000e+01,-6.150000000000000355e+00
1.430000000000000071e+01,-8.599999999999999645e+00
1.680000000000000071e+01,-1.180000000000000071e+01
1.850000000000000000e+01,-1.540000000000000036e+01
2.289999999999999858e+01,-1.980000000000000071e+01
2.519999999999999929e+01,-2.480000000000000071e+01
2.780000000000000071e+01,-2.930000000000000071e+01
3.030000000000000071e+01,-3.520000000000000284e+01
3.279999999999999716e+01,-4.120000000000000284e+01
3.539999999999999858e+01,-4.729999999999999716e+01
3.800000000000000000e+01,-5.429999999999999716e+01
4.000000000000000000e+01,-6.039999999999999858e+01
4.339999999999999858e+01,-6.829999999999999716e+01
4.500000000000000000e+01,-7.800000000000000000e+01
4.760000000000000142e+01,-8.729999999999999716e+01
5.000000000000000000e+01,-9.650000000000000000e+01
