# V_in, V_out
1.209999999999999964e+01,-5.200000000000000178e+00
1.450000000000000000e+01,-7.500000000000000000e+00
1.689999999999999858e+01,-9.800000000000000711e+00
1.869999999999999929e+01,-1.280000000000000071e+01
2.300000000000000000e+01,-1.590000000000000036e+01
2.550000000000000000e+01,-1.980000000000000071e+01
2.819999999999999929e+01,-2.480000000000000071e+01
3.039999999999999858e+01,-2.950000000000000000e+01
3.320000000000000284e+01,-3.450000000000000000e+01
3.570000000000000284e+01,-3.979999999999999716e+01
3.800000000000000000e+01,-4.589999999999999858e+01
4.029999999999999716e+01,-5.110000000000000142e+01
4.270000000000000284e+01,-5.820000000000000284e+01
4.510000000000000142e+01,-6.459999999999999432e+01
4.750000000000000000e+01,-7.240000000000000568e+01
5.020000000000000284e+01,-8.040000000000000568e+01
