# V_in, V_out
1.200000000000000000e+01,-2.399999999999999911e+00
1.440000000000000036e+01,-3.500000000000000000e+00
1.769999999999999929e+01,-4.700000000000000178e+00
2.039999999999999858e+01,-6.000000000000000000e+00
2.280000000000000071e+01,-7.799999999999999822e+00
2.530000000000000071e+01,-9.599999999999999645e+00
2.769999999999999929e+01,-1.150000000000000000e+01
3.039999999999999858e+01,-1.380000000000000071e+01
3.270000000000000284e+01,-1.630000000000000071e+01
3.550000000000000000e+01,-1.880000000000000071e+01
3.800000000000000000e+01,-2.189999999999999858e+01
4.000000000000000000e+01,-2.439999999999999858e+01
4.239999999999999858e+01,-2.769999999999999929e+01
4.500000000000000000e+01,-3.119999999999999929e+01
4.729999999999999716e+01,-3.620000000000000284e+01
4.979999999999999716e+01,-4.039999999999999858e+01
