# V_in, V_out
1.269999999999999929e+01,-5.500000000000000000e+00
1.519999999999999929e+01,-7.700000000000000178e+00
1.780000000000000071e+01,-1.050000000000000000e+01
2.019999999999999929e+01,-1.359999999999999964e+01
2.280000000000000071e+01,-1.710000000000000142e+01
2.519999999999999929e+01,-2.189999999999999858e+01
2.780000000000000071e+01,-2.660000000000000142e+01
3.039999999999999858e+01,-3.169999999999999929e+01
3.279999999999999716e+01,-3.770000000000000284e+01
3.529999999999999716e+01,-4.400000000000000000e+01
3.779999999999999716e+01,-5.029999999999999716e+01
3.989999999999999858e+01,-5.600000000000000000e+01
4.339999999999999858e+01,-6.329999999999999716e+01
4.479999999999999716e+01,-7.300000000000000000e+01
4.729999999999999716e+01,-8.150000000000000000e+01
4.970000000000000284e+01,-9.000000000000000000e+01
