# V_in, V_out
1.209999999999999964e+01,-3.799999999999999822e+00
1.440000000000000036e+01,-5.200000000000000178e+00
1.780000000000000071e+01,-7.000000000000000000e+00
2.039999999999999858e+01,-9.500000000000000000e+00
2.289999999999999858e+01,-1.140000000000000036e+01
2.550000000000000000e+01,-1.450000000000000000e+01
2.800000000000000000e+01,-1.780000000000000071e+01
3.050000000000000000e+01,-2.130000000000000071e+01
3.300000000000000000e+01,-2.489999999999999858e+01
3.560000000000000142e+01,-2.919999999999999929e+01
3.800000000000000000e+01,-3.460000000000000142e+01
4.020000000000000284e+01,-3.860000000000000142e+01
4.260000000000000142e+01,-4.350000000000000000e+01
4.500000000000000000e+01,-4.900000000000000000e+01
4.750000000000000000e+01,-5.520000000000000284e+01
5.010000000000000142e+01,-6.189999999999999858e+01
