# V_in, V_out
1.190000000000000036e+01,-2.299999999999999822e+00
1.669999999999999929e+01,-4.500000000000000000e+00
2.260000000000000142e+01,-7.200000000000000178e+00
2.769999999999999929e+01,-1.080000000000000071e+01
3.260000000000000142e+01,-1.530000000000000071e+01
3.760000000000000142e+01,-2.080000000000000071e+01
4.239999999999999858e+01,-2.650000000000000000e+01
4.970000000000000284e+01,-3.870000000000000284e+01
