# V_in, V_out
1.200000000000000000e+01,-4.400000000000000355e+00
1.440000000000000036e+01,-6.400000000000000355e+00
1.789999999999999858e+01,-8.400000000000000355e+00
2.039999999999999858e+01,-1.130000000000000071e+01
2.289999999999999858e+01,-1.400000000000000000e+01
2.530000000000000071e+01,-1.719999999999999929e+01
2.769999999999999929e+01,-2.100000000000000000e+01
3.039999999999999858e+01,-2.589999999999999858e+01
3.310000000000000142e+01,-3.039999999999999858e+01
3.550000000000000000e+01,-3.539999999999999858e+01
3.800000000000000000e+01,-4.020000000000000284e+01
4.000000000000000000e+01,-4.379999999999999716e+01
4.260000000000000142e+01,-5.000000000000000000e+01
4.520000000000000284e+01,-5.610000000000000142e+01
4.760000000000000142e+01,-6.289999999999999858e+01
4.989999999999999858e+01,-7.000000000000000000e+01
