# V_in, V_out
1.200000000000000000e+01,-4.400000000000000355e+00
1.680000000000000071e+01,-8.750000000000000000e+00
2.280000000000000071e+01,-1.409999999999999964e+01
2.800000000000000000e+01,-2.119999999999999929e+01
3.289999999999999858e+01,-3.000000000000000000e+01
3.789999999999999858e+01,-4.100000000000000000e+01
4.229999999999999716e+01,-5.210000000000000142e+01
5.000000000000000000e+01,-7.379999999999999716e+01
