# V_in, V_out
1.180000000000000071e+01,-8.599999999999999645e+00
1.660000000000000142e+01,-1.680000000000000071e+01
2.260000000000000142e+01,-2.730000000000000071e+01
2.760000000000000142e+01,-4.120000000000000284e+01
3.260000000000000142e+01,-5.729999999999999716e+01
3.760000000000000142e+01,-7.720000000000000284e+01
4.189999999999999858e+01,-9.690000000000000568e+01
4.970000000000000284e+01,-1.366999999999999886e+02
