,0,1,2,3,5,6,7,9,10,22,23
15,(-19.54991310859281-28.592962597391942j),(0.08119414154739316-0.11951338510445983j),(-5.669885989313304-28.29161856574438j),(3.1805872388758267-42.66764161832988j),(-8.961457537351789-9.150025485500061j),(-9.574166479052296-1.7108612127825311j),(-12.362475372700178-0.061054777306679964j),(-5.823945986817509-2.676834458881012j),(-5.714101523822012-0.6947224787809609j),(-6.490201983676677-5.543284659269845j),(-8.413601170204709-4.543597041797484j)
16,(-28.30477506924668-28.236941074304827j),(0.05779999295265405-0.16548224777802426j),(-13.099019571130322-31.55265369998677j),(-5.320166299417753-50.705922521801305j),(-14.484624730993195-8.596189710071672j),(-13.00767543721936+0.10664544482161459j),(-16.07130400684001+3.8954769760415022j),(-8.35216407044962-1.8275968537772553j),(-7.507083644199922+0.853472988131448j),(-10.242641074161927-5.128778152972425j),(-12.52983861039856-3.094091129450696j)
17,(-37.2961579594553-28.774990976453335j),(0.055944703976217786-0.18829898484929902j),(-18.521289259748002-35.33666811160096j),(-12.75582477746347-56.917957975117275j),(-21.309681890987747-9.479495297909288j),(-17.25418574696354+2.863259117423312j),(-20.04406286016741+7.7735648237335075j),(-11.290347766093161-0.5994254823111879j),(-9.991666520585516+2.648021639604834j),(-14.308991126893206-4.977644608148923j),(-16.82265098652576-1.9578898058331653j)
18,(-47.4105969747257-24.556830492155868j),(0.030764118102053234-0.23047410249667566j),(-29.467830779176882-35.21798235440413j),(-25.4968095416871-58.85883410885239j),(-28.222981381254986-5.323197188779965j),(-20.043265832645567+9.049111355391064j),(-22.833707968841793+15.609502468765859j),(-14.03044396785182+2.10193205194929j),(-11.922001309608541+5.773846218793851j),(-19.439648700119694-2.603884654909858j),(-21.99627081599015+2.217834773571466j)
19,(-58.299233481561274-17.799569436865546j),(-0.024771951947040127-0.27083304237043804j),(-39.49912726110215-36.594360601113436j),(-40.28225500917811-64.51802344927735j),(-39.112825870625436+0.08330847125260554j),(-24.175876999037595+17.000465349394926j),(-26.15361487820206+26.57874777198888j),(-17.989213442848822+5.926615591368394j),(-14.514155604770147+10.75132265552406j),(-25.472996899147542+1.2022293363346264j),(-27.88625854918109+7.760042233161046j)
20,(-69.89975910069137-13.451147542900983j),(-0.05002510941759794-0.3020503612024709j),(-48.909084489736294-34.15005573649487j),(-55.592189406942694-68.64120704476836j),(-50.17910506157443+7.964353680667918j),(-27.306299933813683+28.405775920524167j),(-26.939641091675576+41.188701635011604j),(-21.486235414386396+12.753009439728205j),(-14.81309000449618+16.74003599201224j),(-33.52001512787414+7.422678276995704j),(-33.700034529703046+18.363222650228764j)
21,(-80.10163412412037-6.821553606602841j),(-0.0643818315987657-0.3515596905902766j),(-58.633952960238275-34.11550408729936j),(-69.01834437450206-73.60719396280321j),(-62.26448478492754+19.226431080225193j),(-28.96380859431391+39.31229427707632j),(-25.901239950028312+55.26572997449536j),(-25.45666293551435+20.358868379882747j),(-16.15416707298183+24.262921335740025j),(-40.83426796251861+15.357851610454006j),(-39.102283839978604+27.627942561558825j)
22,(-89.139995924006+9.370755610999595j),(-0.14731444701780208-0.39286796856653794j),(-70.54659620139213-26.96525642001535j),(-89.47548072433462-64.86855528596853j),(-69.98595458348237+42.25151171262605j),(-22.069094650492655+57.33231220458969j),(-14.424701040359336+76.51040125014954j),(-24.335995924028328+30.807145886265978j),(-12.762994463288562+33.885818631622385j),(-44.744106090318255+32.21720692192319j),(-39.75434604432986+46.411618916288674j)
23,(-101.1386060689155+22.48124870203179j),(-0.18904514794539445-0.4262059876094505j),(-84.33892579773476-19.654909029187557j),(-110.37790602299869-64.10013655796175j),(-78.32765791487829+70.61742161858703j),(-15.179480146519678+77.39499577958294j),(1.2972977552799478+99.44295414323561j),(-23.601551420735703+45.255915533193026j),(-5.853264659538286+45.877706321294234j),(-49.66169657690256+49.32623908185984j),(-40.09130394942671+66.04596089499935j)
24,(-110.82681426255573+41.39224061372642j),(-0.29938642847651176-0.45958530576780476j),(-97.99673291853625-9.487057586864296j),(-132.76939841989048-56.043971145165926j),(-76.55211869303564+106.70438931489439j),(3.5617043798945867+97.74574050213774j),(28.65390661715174+122.50258843710598j),(-16.128582633154696+63.22772472710177j),(4.3345105923779155+58.53586858205745j),(-47.12566604211888+74.69031800232987j),(-28.251314475385026+92.50021761124127j)
25,(-114.18678671106119+66.71963578570355j),(-0.4023693311545581-0.48063521591265335j),(-111.52704342039813+5.112927628279472j),(-157.55008684974038-41.443887003166395j),(-62.18046637862677+149.23680034182252j),(32.79874544071379+117.80417790088774j),(70.36172366432437+136.80071586657095j),(-2.8409633037235826+80.80713390335144j),(22.81232807609532+69.77643433410974j),(-36.13856182630829+103.25242187150612j),(-10.787465639780336+117.78278676275208j)
26,(-113.62154143547387+86.42927879334341j),(-0.4835349095599695-0.5072888195265817j),(-123.56287598897048+19.479239308117414j),(-177.6698262689633-24.055225978022534j),(-40.14942441174868+193.51639005939603j),(70.35486016509095+130.17892581410348j),(125.52666973849804+144.44204998344622j),(20.68100584144063+94.32106592387177j),(45.72583008531901+73.89116422516494j),(-16.80716847143198+128.46067400727753j),(20.290436514450455+144.28362810861614j)
27,(-114.83499514323033+129.11319293129833j),(-0.7087466040890321-0.4699306802009627j),(-133.38289317936471+49.56938052268055j),(-208.2351491233714+4.41818127688758j),(18.673907961135605+236.96104948937608j),(126.23344940103975+129.4200859206487j),(186.21928568886042+123.6211720912052j),(54.590046723544255+105.2188400191639j),(78.68747819788388+74.56736693335678j),(23.197423396673887+161.53476146974018j),(69.41122743113112+164.04493835522592j)
28,(-102.98243167874104+149.58858251333305j),(-0.829841168231781-0.47754618414976324j),(-131.75510715725062+73.27815466211482j),(-218.48151957036652+38.567739051244146j),(83.21334524259154+252.39404424293636j),(177.84276293838863+98.40072709292726j),(250.46145677826+87.9125718214978j),(89.18660305916755+98.6245746860993j),(109.12452210422+59.18176915891j),(63.695704170290156+171.8437415738053j),(123.87961589927407+161.93769006728022j)
29,(-84.83408802466826+181.4262798877977j),(-0.9994871412023574-0.3861241631570103j),(-138.94087401758125+100.77239120272935j),(-236.63233737813113+76.14377214234987j),(169.3746837106152+272.29752102561105j),(228.99699065907006+71.76847396862287j),(304.23823958092163+30.960931805872846j),(128.5318403683564+87.74074433543412j),(137.70945516493487+38.7226759513773j),(121.92955731042788+179.6018002605894j),(180.10659911957717+149.91078344560168j)
