!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Tuesday, June 23, 2020 18:36:42
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
29971000,0.49604547,-7.4367747,0.0011858026,-128.47073,0.89615506,-151.43973,0.33238214,150.25653
30470500,0.45147553,-26.610718,0.00015324647,115.99684,0.93593532,-163.92899,0.31830698,143.8528
30970000,0.42898703,-43.302616,0.0013134438,84.734764,1.8416362,-172.77791,0.19372065,-175.91924
31469500,0.41587153,-57.295582,0.00084159052,118.19,0.81950957,-162.65291,0.29394203,128.72519
31969000,0.41241395,-69.734795,0.00079126033,100.40092,1.1518459,-167.0524,0.22499296,147.99782
32468500,0.4076992,-80.65519,0.0002141424,-26.686661,1.7686511,-172.82658,0.44792676,125.15636
32968000,0.40769553,-89.094109,0.00071550283,145.85516,2.0595808,137.16449,0.29971266,130.66869
33467500,0.41088912,-97.664261,0.00064087351,-70.864426,0.84189498,162.31532,0.13457049,-173.23462
33967000,0.40761545,-103.79649,0.0025449758,17.856142,0.023252496,126.47694,0.45547655,143.06812
34466500,0.41267377,-109.42425,0.00073147693,-44.800911,1.1427953,76.74762,0.39459464,130.43556
34966000,0.41180319,-115.30585,0.00061120314,109.51485,2.2153158,135.23846,0.47773185,168.16669
35465500,0.41299671,-120.88081,0.00023203842,-10.8603,2.4028749,92.710899,0.20772538,135.51036
35965000,0.41585153,-125.06943,0.001494777,-58.23233,2.4150887,99.103157,0.29845965,112.17042
36464500,0.4120394,-129.24162,0.0017694583,-50.093056,2.1229374,117.87669,0.41585031,141.77293
36964000,0.40699756,-133.47585,0.001636024,-131.18932,1.8157922,97.562614,0.30065247,124.30933
37463500,0.4086653,-137.08705,0.0012507539,4.8252778,2.0126722,71.431091,0.48334116,136.08122
37963000,0.41202193,-141.54645,0.0013434883,-113.89812,3.0592742,65.60434,0.38173932,149.07622
38462500,0.40444714,-144.80994,0.0028788005,-144.04053,2.0842111,61.141983,0.34066451,92.095879
38962000,0.39902097,-147.82944,0.00079359737,-112.2547,2.9694808,82.096146,0.417665,114.0573
39461500,0.40206799,-151.96761,0.00098525966,-134.53558,1.6123022,69.229843,0.13044696,125.46663
39961000,0.39882028,-154.70483,0.0014006307,-30.320477,3.0849652,62.153191,0.29852861,109.36538
40460500,0.39798525,-157.43144,0.00064179621,108.37063,4.2055292,57.100548,0.29965341,106.17593
40960000,0.39839694,-160.64821,0.0017369096,-152.11096,3.9045508,43.093647,0.17444576,172.0311
41459500,0.39693546,-163.27838,0.0012693127,177.63435,5.4889455,29.635303,0.46917161,115.09867
41959000,0.39779109,-166.35823,0.00060736533,128.94394,4.8799758,48.475246,0.2064309,95.086723
42458500,0.38924801,-168.61267,0.0006596694,-5.8335085,4.1262951,25.812706,0.36007592,100.04928
42958000,0.39261845,-172.22299,0.0014316367,-55.275387,4.2824225,20.541248,0.20933765,95.279945
43457500,0.38685334,-174.90898,0.0011516642,-28.568003,5.8984594,7.1743307,0.3291418,90.65213
43957000,0.38299322,-178.35733,0.0023389573,-85.168266,4.4657602,-1.6185012,0.37963226,119.82096
44456500,0.38381726,179.29141,0.00040055212,76.261177,5.5706716,-1.502187,0.29163924,96.603653
44956000,0.37747949,176.92009,0.00058888923,-111.93427,5.5647483,-21.2623,0.58526188,118.22253
45455500,0.37639204,174.07198,0.0019120638,114.34007,5.9780025,-19.512962,0.5696786,73.348381
45955000,0.37431121,171.18134,0.0010696372,-124.15282,6.7012377,-22.952991,0.11622393,107.20963
46454500,0.37145385,168.57936,0.00077816175,116.91431,7.7543759,-28.294626,0.40249828,107.4873
46954000,0.37088573,166.31088,0.00092796568,83.84861,7.5821743,-41.522427,0.32035929,97.954285
47453500,0.3661671,162.32198,0.0020026998,22.789488,7.7393451,-45.384148,0.24886428,111.04979
47953000,0.35790342,159.61316,0.00067679939,173.07814,8.4745808,-49.707848,0.21073033,156.19431
