Frequency [Hz],Gain,phase [rad]
33967000.0,36.500149400770646,-2.2184139328980894
34466500.0,36.00610942465791,-2.2606192605552375
34966000.0,35.50050792171516,-2.3026321699872487
35465500.0,34.81868589178844,-2.3396407504927415
35965000.0,34.028453335560314,-2.3735706775519274
36464500.0,33.183071895656504,-2.404365571283129
36964000.0,32.19084581131829,-2.42681282815109
37463500.0,31.198619726980066,-2.4492600850190507
37963000.0,30.14134876119512,-2.457092014664648
38462500.0,29.078950067175157,-2.463771764086452
38962000.0,28.08963740530812,-2.45888026365552
39461500.0,27.153068864016767,-2.4456381197505106
39961000.0,26.305918515397533,-2.4276016213151608
40460500.0,25.750282914316998,-2.3939349137606394
40960000.0,25.194647313236462,-2.3602682062061184
41459500.0,25.1949328553928,-2.3159254410797274
41959000.0,25.264884663035033,-2.270244786451934
42458500.0,25.729136761662552,-2.2269385004668085
42958000.0,26.52585238977397,-2.1856342190383238
43457500.0,27.444700435648656,-2.147833802613647
43957000.0,28.863124524119346,-2.1243657562873506
44456500.0,30.281548612590036,-2.100897709961054
44956000.0,32.0359679794786,-2.0957196090847843
45455500.0,33.84951776911403,-2.0937602802447466
45955000.0,35.7418453744366,-2.1012807694542763
46454500.0,37.71162154198062,-2.1181211194857386
46954000.0,39.673592218936776,-2.1372781543303816
47453500.0,41.59401594915623,-2.168766403908477
47953000.0,43.51443967937568,-2.2002546534865726
48452500.0,45.25769093398937,-2.2408594288998462
48952000.0,46.959938635697085,-2.2835740689979334
49451500.0,48.4959251865066,-2.3304604263002333
49951000.0,49.841363243214744,-2.382127903105106
50450500.0,51.130481511713505,-2.43472163318483
50950000.0,52.00607849601094,-2.494116266746084
51449500.0,52.88167548030839,-2.5535109003073373
51949000.0,53.325717224591415,-2.6186607843733194
52448500.0,53.64358628550671,-2.6854933160642287
52948000.0,53.69782123678959,-2.755801306578898
53447500.0,53.39925852351462,-2.83076018903619
53947000.0,53.04883414932357,-2.9065418596396553
54446500.0,52.11456837770285,-2.9915862066126264
54946000.0,51.18030260608214,-3.076630553585598
55445500.0,49.809480048010194,3.111204592337834
55945000.0,48.28165152761128,3.012147984774322
56444500.0,46.581639611533255,2.9048388594577785
56944000.0,44.61162288475016,2.7845887679989483
57443500.0,42.638205727205026,2.662911068005502
57943000.0,40.58964494651962,2.509685695018757
58442500.0,38.54108416583421,2.356460322032012
58942000.0,36.95951565608855,2.1715777316722393
59441500.0,35.58076862797861,1.9729459550162123
59941000.0,34.83327175248615,1.7618157943244717
60440500.0,35.25244034081213,1.527586339402789
60940000.0,35.68436750911351,1.2934136832136727
61439500.0,38.65270037653068,1.0705326150587604
61939000.0,41.621033243947856,0.8476515469038485
62438500.0,46.10237451173275,0.6534285720266902
62938000.00000001,51.366940409104245,0.4740407589944138
63437500.00000001,57.15291360582831,0.30675750154667036
63937000.00000001,64.0843143577703,0.16606553180702413
64436500.0,71.01571510971229,0.02537356206737875
64936000.0,79.09841567667554,-0.09112071687639721
65435500.0,87.22075457534936,-0.20678188868171854
65935000.0,95.89452368407078,-0.3130030151321265
