!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:48:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
10000000,-0.44598013,-0.84664869,0.0019091724,0.0033116515,-0.0036094466,-0.0043114675,-0.016277909,-0.0030979894
10995000,-0.60838139,-0.72724503,-0.0014208467,-0.00023977795,0.00673552,-0.0025941783,-0.012963344,-0.0025125563
11990000,-0.73028028,-0.57807052,-0.00040504904,0.0002207354,0.0070459372,0.0074215787,-0.006073127,0.0016329344
12985000,-0.82410777,-0.40690705,0.0027772251,0.0011726207,0.012192503,-0.015672026,-0.0048936279,0.0027965922
13980000,-0.87876815,-0.22721665,-8.9874957e-006,0.0023104975,0.0089946697,-0.01000947,0.004006125,-0.0042733778
14975000,-0.88789314,-0.04338723,-0.00056950474,-0.00071700802,-0.0050852108,-0.0017388307,0.0045002634,-0.0040773959
15970000,-0.86330795,0.13227257,-0.002753804,0.00040836274,0.013154874,0.0080029164,0.010725595,-0.0054674195
16965000,-0.79706013,0.30167395,0.00064533984,-0.0019622773,-0.038837787,-0.002846468,0.0084387651,-0.0012685033
17960000,-0.72298712,0.4515647,0.00087891426,0.0012429183,0.0071068625,-0.014010797,0.0098656863,-0.0086219041
18955000,-0.6020155,0.56559604,-0.00093884824,-0.0034534789,0.012754302,-0.017428806,0.0086248079,-0.014743688
19950000,-0.46859428,0.67526931,0.0020463688,-0.00077497121,0.037404656,-0.0047559566,0.016606037,-0.013960197
20945000,-0.3148447,0.74142969,0.0029993306,0.0010545135,-0.0068689114,-0.019969692,0.0016720578,-0.00087282917
21940000,-0.16587259,0.77698845,-0.0010461978,0.0030781447,0.006523666,-0.03439055,0.012528573,-0.016950518
22935000,0.0014383084,0.78134537,0.00093017268,-0.00145014,-0.022397995,-0.006111789,0.0046074218,-0.017840389
23930000,0.15939139,0.7445507,0.00070509355,0.0027933375,-0.038698077,0.0075439177,-0.0091221454,-0.016169228
24925000,0.29938376,0.70061743,-0.0015825604,0.00027157637,-0.023036918,-0.00011119023,-0.024851777,-0.017807186
25920000,0.43671679,0.61705559,0.00059316558,-0.0045493226,-0.014643562,-0.014477153,-0.0241499,-0.0086215949
26915000,0.53980631,0.51860315,-0.00052517955,0.00070761429,-0.048575651,0.015734261,-0.017721269,-0.001260001
27910000,0.61062449,0.40045363,-2.8576609e-005,0.001812227,-0.034712959,0.007911385,-0.0069440785,0.0020159651
28905000,0.684843,0.24997459,0.0030013607,0.00094539358,-0.086449161,0.010841896,-0.0045138416,-0.0018293841
29900000,0.71832347,0.11527318,-0.0012283291,0.00024646914,-0.074544661,0.032200675,-0.0017601429,-0.0064745047
30895000,0.72954124,-0.052395642,0.0041636303,-0.0042277654,-0.042682186,-0.041269328,-0.023575144,-0.041238304
