!CSV A.01.01
!Keysight Technologies,P5020A,MY58100190,A.14.10.03
!Date: Monday, June 08, 2020 12:33:43
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(MAG),S11(DEG),S12(MAG),S12(DEG),S21(MAG),S21(DEG),S22(MAG),S22(DEG)
29971000,0.74356139,154.15068,0.0015435871,57.631493,0.93700361,-61.635715,0.59231097,144.71866
30470500,0.73837161,151.10699,0.0012740971,45.592072,0.88970155,-65.775696,0.57386231,141.46931
30970000,0.7368387,148.02234,0.0023160749,43.396999,1.5810481,-77.761513,0.52985793,124.80637
31469500,0.72971284,144.03101,0.00048736433,144.10857,1.2108496,-89.284676,0.48418137,152.31972
31969000,0.73584658,140.55365,0.00081471063,-151.89828,1.9988061,-51.914036,0.64784437,129.12729
32468500,0.72500443,137.5851,0.00030186915,-12.890038,2.1007664,-55.34267,0.65007043,132.03806
32968000,0.72108579,134.24423,0.0021042556,4.089684,1.5155495,-110.55727,0.62327093,117.50591
33467500,0.7179637,131.14249,0.0015597206,-68.793816,2.2776363,-94.12886,0.52074492,135.26047
33967000,0.70804209,127.09834,0.001138474,12.857523,3.1292748,-92.619377,0.63072455,130.74104
34466500,0.70377129,123.46787,0.002277801,-27.168646,2.5818288,-88.47448,0.75409234,129.49733
34966000,0.69957602,120.20838,0.0016134131,176.26822,3.3539863,-92.53331,0.60072458,131.0101
35465500,0.69146115,116.39731,0.00077726669,-81.246391,3.8593829,-99.427368,0.6297608,126.97993
35965000,0.6841262,112.58337,0.0013862174,112.07981,5.1508999,-104.76041,0.72105283,116.16286
36464500,0.67465264,109.305,0.0019719431,17.490807,4.6232471,-102.44025,0.49213547,133.55394
36964000,0.66921157,105.20329,0.0018016136,113.71169,5.8931389,-103.11609,0.48456857,136.48012
37463500,0.65838683,101.59772,0.00031042178,16.205984,6.1698828,-108.73609,0.3927294,107.79058
37963000,0.65176886,98.004356,0.00052123959,-103.25844,6.4669132,-121.06306,0.6157763,114.89268
38462500,0.63681668,94.378555,0.0015506997,-66.217453,7.5634556,-119.9054,0.69557238,91.885216
38962000,0.62394363,90.57383,0.00055252196,111.85723,7.4934201,-126.8624,0.68017334,117.80562
39461500,0.6116854,86.743385,0.00080954388,67.712868,8.6847086,-132.09567,0.65656179,109.77155
39961000,0.5983845,82.82399,0.001379559,90.696434,9.5264549,-132.25537,0.4486129,100.47356
40460500,0.58882123,79.436211,5.0744165e-005,46.115231,11.067028,-139.10062,0.64390165,128.42805
40960000,0.57045972,75.762833,0.00070971553,-120.13873,12.794737,-143.52673,0.60212457,98.90535
41459500,0.55991906,72.526306,0.0009666406,-98.35627,13.720103,-151.87413,0.551507,105.30157
41959000,0.54020911,68.856903,0.00093133363,-173.42961,15.090097,-159.7567,0.7503975,95.708389
42458500,0.53148085,65.320091,0.00089856266,19.019569,16.165724,-158.80327,0.45579091,128.44975
42958000,0.51430464,61.940037,0.0011081714,68.756248,18.418661,-164.77437,0.52933484,106.57399
43457500,0.49974027,59.186539,0.00044712867,-76.750809,18.967943,-170.79649,0.59096676,106.13009
43957000,0.48525015,55.180199,0.0024864401,34.983654,20.987288,-178.2316,0.46162304,98.383247
44456500,0.47260383,52.694473,0.0011107072,-10.352939,22.929653,179.75409,0.62804818,103.18694
44956000,0.4598428,49.569443,0.0015496318,-145.42361,24.561039,173.99371,0.51718575,92.091461
45455500,0.44546178,46.293728,0.00076601608,-48.303631,26.113321,167.39162,0.5059973,76.207962
45955000,0.4322857,43.753819,0.0018111343,-66.43425,27.739901,165.36372,0.63858706,81.865921
46454500,0.41695535,40.992092,0.0011195256,-108.38736,29.494738,157.9841,0.47024643,73.171143
46954000,0.40567493,37.513184,0.0012812124,50.318661,30.838882,157.10446,0.56175721,84.901672
47453500,0.39206025,35.470295,0.00075399532,-103.53397,33.916569,149.65234,0.55602366,71.960083
47953000,0.37677243,32.959938,0.00050840451,26.996262,37.179111,145.95723,0.62617922,86.784241
48452500,0.36738849,29.904366,0.0015295217,109.69357,39.197929,141.62172,0.46292114,75.980316
48952000,0.35692763,27.822977,0.00063486781,-49.82626,41.170071,137.27937,0.52974415,96.223869
49451500,0.3472859,25.243759,0.00027610079,-167.23126,44.817127,133.05365,0.49359313,80.429749
49951000,0.33562925,23.264561,0.00047763801,-60.477802,47.648281,129.43665,0.63557488,65.445351
50450500,0.3225666,20.360613,0.0016544556,82.095337,48.575504,124.20387,0.50017864,81.165878
50950000,0.31305483,18.912024,0.0012043703,-1.9938426,53.548779,119.42892,0.65410787,63.429955
51449500,0.30366552,16.637602,0.0011306731,17.362442,55.71566,115.00323,0.45441672,88.831314
51949000,0.29555365,14.761824,0.00011109717,163.91243,58.448505,112.26706,0.5804792,60.618893
52448500,0.28678894,12.551581,0.00024650685,89.767464,62.175823,108.08458,0.65280414,64.543365
52948000,0.27905208,9.8751068,0.0007868543,129.98788,65.693657,104.85665,0.67650801,86.803665
53447500,0.26998803,8.0389118,0.0020544122,118.62791,69.957825,99.870491,0.60341895,64.590057
53947000,0.26679829,6.6270785,0.0005028611,-130.90192,72.873573,96.082527,0.63100773,77.634827
54446500,0.25591743,4.8318276,0.0014250943,108.06585,76.320267,91.651779,0.65614283,47.163651
54946000,0.24886994,3.7441103,0.00083854562,54.348141,81.028236,87.863815,0.49709123,59.642204
55445500,0.24733545,1.3028355,0.00033323831,154.73273,84.128967,83.915382,0.60426402,63.229698
55945000,0.23600617,-0.74010658,0.00098221411,144.46797,90.533218,80.009964,0.720007,44.456772
56444500,0.23297632,-2.7294104,0.0011415076,168.24776,92.509491,76.058723,0.52957004,66.079956
56944000,0.23161128,-4.1166501,0.00087423489,-103.33697,99.005089,72.910637,0.4568499,47.544857
57443500,0.22947203,-3.6128001,0.0026277776,-17.755751,104.03329,68.865486,0.6627019,58.063274
57943000,0.21893287,-3.3222547,0.0021980922,25.013573,108.93739,65.350174,0.55861491,31.903379
58442500,0.21772835,-8.586648,0.0013406682,-84.773399,113.66877,61.433624,0.51861292,53.873932
58942000,0.21194345,-9.4954271,0.00086270145,-115.50641,118.33514,56.542774,0.34002501,16.452215
59441500,0.20198143,-9.4358101,0.00098974514,126.09372,124.96307,53.858784,0.55249846,42.395344
59941000,0.20581326,-9.9698772,0.0016769167,9.5302687,130.40462,50.133774,0.6392355,20.442003
60440500,0.19484745,-14.901378,0.0010893375,-153.98662,134.90977,47.311138,0.36338404,59.846466
60940000,0.19216526,-17.026766,0.0016504778,-123.19116,142.45865,43.516552,0.61308044,58.479984
61439500,0.19132684,-14.754346,0.00061827095,46.079636,147.23663,39.571262,0.40796301,54.179279
61939000,0.18489988,-15.303085,0.00048607847,131.61916,152.55054,35.599812,0.36090893,29.026669
62438500,0.19388507,-17.75008,0.0017822211,-14.124891,160.08949,32.375748,0.48640025,35.074268
62938000,0.17869084,-15.898992,0.0016859736,95.862663,166.94522,28.784098,0.35675025,21.557318
63437500,0.17431565,-21.430988,0.00073849643,-156.88705,173.83788,25.318693,0.53549612,30.157225
63937000,0.17042853,-23.106085,0.0011627281,-112.57629,181.56914,21.752758,0.61348039,29.616524
64436500,0.18155171,-22.59017,0.0015252589,-22.328819,188.35449,18.530207,0.66786009,42.804878
64936000,0.18258147,-23.100868,0.0020910949,31.4056,195.32854,14.446231,0.4773705,25.746586
65435500,0.17311379,-22.746418,0.0011952374,85.166176,204.17226,11.601312,0.40978897,49.152039
65935000,0.15584457,-21.705593,0.0014582236,155.99724,208.75851,7.5611525,0.41513336,-8.1375027
66434500,0.16871774,-22.809526,0.0012024349,96.49498,217.87379,4.417119,0.46853223,15.100107
66934000,0.15946181,-27.536896,0.00012373812,-108.00996,224.2834,0.77492422,0.32722682,-4.3700943
67433500,0.14758077,-34.537487,0.0021163763,-99.163177,235.0872,-2.6190588,0.43348762,10.801038
67933000,0.16076015,-31.42013,0.0010081177,-39.381527,242.26521,-5.4832106,0.27897248,26.767717
68432500,0.14601356,-32.474716,0.0013567313,-108.37194,251.22029,-9.0072851,0.25304216,46.804447
68932000,0.14439809,-34.731789,0.0014937159,-88.28833,260.02029,-13.10076,0.52836609,8.4421349
69431500,0.16323896,-30.693371,0.00062841916,71.185745,268.57428,-16.11348,0.3835831,6.84269
69931000,0.14317243,-33.799324,0.00064263807,-114.97629,279.21057,-20.11105,0.57829237,27.60635
70430500,0.15083472,-35.914558,0.00064423773,14.314857,285.07605,-22.986254,0.31779227,11.196823
70930000,0.16349009,-38.954746,0.0016842188,51.211983,296.87189,-26.287201,0.33688399,34.348808
71429500,0.13993043,-36.257488,0.00071760616,-113.75526,303.57156,-29.582516,0.3166672,-11.332662
71929000,0.15488681,-34.603329,0.00078406057,115.57619,312.42862,-33.265915,0.45170566,-8.7074041
72428500,0.16109887,-44.121761,0.0015811254,33.970215,317.16306,-36.634155,0.51792312,-18.545656
72928000,0.15065901,-36.160007,0.00074563734,128.89632,331.37881,-39.989014,0.49971163,3.7310972
73427500,0.14262697,-35.654495,0.00073413685,-159.18201,344.36465,-43.111301,0.52987158,22.999699
73927000,0.12374615,-39.943584,0.0013788056,-81.130653,347.69376,-46.332886,0.33478025,-3.4526155
74426500,0.1562333,-42.213428,0.0009237859,90.462364,355.27948,-49.072697,0.34134239,-26.415541
74926000,0.13275251,-41.849072,0.00061141909,-65.507813,364.59277,-52.410995,0.22145976,-12.37477
75425500,0.1336426,-47.764576,0.00088104606,-2.170639,375.24008,-55.439461,0.051181063,-21.861631
75925000,0.12170164,-36.548931,0.0013110057,-98.742722,383.96835,-59.511555,0.41860771,-5.4581618
76424500,0.15414642,-44.850178,0.00067013054,118.61697,393.96988,-61.541084,0.02694972,-92.097069
76924000,0.12649168,-39.090023,0.0010917586,-106.00871,402.05322,-65.496704,0.30852872,-2.5313454
77423500,0.13130561,-40.595695,0.00071157294,-123.98293,404.90784,-68.651146,0.43818682,-29.673582
77923000,0.13194811,-37.01532,0.0013285087,-108.96518,422.6507,-71.98539,0.33038157,31.021904
78422500,0.14298573,-50.808895,0.00035224442,95.402725,422.14969,-75.081215,0.38194588,-19.976244
78922000,0.15533167,-49.544952,0.00075941143,134.28009,437.93567,-78.597862,0.44072291,32.858269
79421500,0.11415028,-60.441132,0.0014745615,10.860572,436.25595,-80.827515,0.32658312,-44.10899
79921000,0.14678285,-49.921864,0.00053677754,158.71104,443.33472,-84.544647,0.57592595,-20.098347
80420500,0.12633783,-48.059368,0.00053314795,-48.10709,459.95874,-86.632217,0.095860139,-13.018309
80920000,0.15292361,-46.775211,0.00097139936,-159.07373,466.00562,-90.159889,0.17946403,-3.9017487
81419500,0.1563697,-56.411091,0.001109332,134.85893,471.67502,-93.313004,0.36071554,4.3205543
81919000,0.11938418,-67.10408,0.001294537,52.030632,469.46008,-95.847473,0.53644472,-46.106194
82418500,0.13651887,-48.637306,0.00067867263,-112.22779,487.59518,-99.309219,0.22395939,20.497009
82918000,0.1332531,-60.933838,0.00066951109,77.229355,498.36008,-101.95442,0.15224625,33.500751
83417500,0.12241227,-47.568134,0.00068075588,-60.083733,495.68774,-105.23746,0.4271746,2.9500883
83917000,0.14707614,-64.267784,0.001062121,126.36578,502.24805,-107.50984,0.33624592,-23.492193
84416500,0.13324313,-60.715958,0.00055696571,105.04707,509.62973,-110.27509,0.33268335,-13.258543
84916000,0.12574589,-61.015568,0.00049434591,67.828323,514.91309,-112.58239,0.38318905,-56.462254
85415500,0.14124572,-63.481983,0.0006293492,141.76373,519.75049,-115.57539,0.35281181,-44.535622
85915000,0.14775689,-71.651848,0.0012089888,125.92248,529.33777,-118.21853,0.31427115,-60.698635
86414500,0.14714581,-53.440338,0.00065538823,-115.10276,538.42908,-120.94299,0.12581214,-58.152218
86914000,0.13846044,-52.558193,0.00058117637,-89.781937,542.85828,-124.20321,0.18494654,15.398862
87413500,0.11892974,-80.286118,0.0015020565,98.6203,545.3714,-126.68441,0.24461092,-13.367291
87913000,0.15365383,-54.779514,0.00090831437,-104.49162,549.48242,-128.85899,0.25108525,-46.306877
88412500,0.1183994,-71.71743,0.00089305855,99.031921,553.50812,-132.86017,0.4777011,19.995792
88912000,0.12954871,-56.415569,0.00041668257,-32.223614,556.79553,-135.47119,0.45634863,17.647346
89411500,0.13467611,-52.861347,0.00081424654,-49.477238,559.89319,-137.58238,0.43295509,4.7554936
89911000,0.14519706,-63.191898,0.00037899578,-126.28299,572.375,-139.26357,0.19583201,-45.670525
90410500,0.13045278,-75.077942,0.00091162598,143.0215,573.61597,-142.17944,0.33254817,-6.6871767
90910000,0.15421478,-73.557365,0.0011758662,-165.43767,582.96136,-143.91484,0.11565424,-65.299393
91409500,0.11217886,-64.625595,0.00054318516,71.20533,574.71936,-146.8972,0.50196922,-11.943554
91909000,0.10849893,-68.021004,0.00066779257,87.8862,593.62457,-149.29738,0.12559406,6.1135631
92408500,0.12037037,-95.560684,0.0019031304,137.95166,592.48065,-151.54619,0.24715403,-27.774885
92908000,0.15635124,-71.88298,0.00091026828,-131.88527,596.70459,-153.26123,0.29713842,-69.930984
93407500,0.13143227,-71.72683,0.00032838766,175.92778,598.89825,-156.32268,0.23853853,-10.31408
93907000,0.084301136,-61.607384,0.0013955935,70.931313,601.28571,-158.31357,0.30484149,-38.961224
94406500,0.065286577,-65.508553,0.0018378356,84.9562,610.72174,-161.06413,0.12453604,23.743412
94906000,0.16098972,-69.470757,0.00084750185,-94.988152,617.51611,-163.02609,0.10846795,-70.273285
95405500,0.11653776,-53.04192,0.0011271855,34.213646,615.1745,-165.66171,0.20035435,9.1325064
95905000,0.15915191,-75.373772,0.00088481262,-110.78024,618.25122,-166.87288,0.41582608,-68.787468
96404500,0.13569564,-83.252876,0.0007797415,-165.36014,631.40332,-169.76485,0.077350855,-80.753838
96904000,0.1064836,-70.730911,0.00069822016,105.27482,632.47351,-171.92688,0.12700671,-114.05608
97403500,0.07732705,-74.855804,0.0015910644,112.90762,632.83337,-173.25598,0.39987063,-78.563538
97903000,0.13631469,-65.38018,0.00047046301,-0.16841884,630.47437,-177.01088,0.2496545,46.337193
98402500,0.12206078,-67.823997,0.00031687491,76.187317,656.77319,-177.22394,0.63151687,-123.54669
98902000,0.1467784,-69.640724,0.00050394837,-29.386192,640.21991,179.70844,0.1797674,-44.73225
99401500,0.15479057,-76.822762,0.00068977283,-81.860771,636.62463,178.15981,0.43442282,-38.238552
99901000,0.13986184,-71.074829,0.00032291064,-6.7133608,644.03394,175.95006,0.28846395,-54.456486
100400500,0.14517717,-82.910583,0.00064099825,-115.22106,649.25916,173.92133,0.32098901,-70.337791
100900000,0.13061549,-95.183998,0.0012883391,-148.75153,642.698,170.57634,0.35333392,35.393604
101399500,0.14608103,-71.545403,0.00048561944,-9.4506292,661.42401,169.58664,0.24210702,-104.62618
101899000,0.14684035,-74.918137,0.00039754983,-37.235622,648.57825,167.62665,0.3652308,-21.117825
102398500,0.15323776,-80.026497,0.00065554248,-64.428307,654.00122,166.49812,0.50280017,-46.814751
102898000,0.133837,-82.184837,0.00032277798,-126.17155,660.44611,162.9761,0.073862053,30.467087
103397500,0.077141866,-62.649139,0.0017119527,125.72031,665.28271,161.54883,0.1343469,-66.344063
103897000,0.11593781,-96.027405,0.0010600461,-146.07906,671.65289,160.06798,0.21529244,-73.86731
104396500,0.14563878,-69.680801,0.0007986328,38.405861,658.93024,157.65117,0.35445914,16.053823
104896000,0.13245384,-86.082329,0.00041869984,-123.11834,670.95532,156.09871,0.26348287,-51.825489
105395500,0.16330513,-83.66375,0.00084897713,-43.465721,669.29437,153.19917,0.19815651,48.880169
105895000,0.098081477,-85.69017,0.0010118646,-174.88101,682.97705,151.27107,0.074211426,150.45224
106394500,0.11725386,-77.865089,0.00053162576,151.00473,683.16553,149.694,0.1133707,-117.25583
106894000,0.16225424,-88.569038,0.00098064425,-48.42028,680.04089,148.9287,0.34987181,-35.570835
107393500,0.18623473,-73.573143,0.0016124169,20.8647,683.05768,146.64377,0.18402094,-34.558323
107893000,0.15240708,-73.127388,0.00085256429,56.285736,684.4024,144.82675,0.13464151,-27.874353
108392500,0.14905202,-83.305252,0.00041473968,-3.9938276,685.0791,142.6862,0.11317962,23.67425
108892000,0.15944895,-90.626389,0.00098567386,-39.858292,684.21606,140.54817,0.23083796,48.796783
109391500,0.15898694,-85.576233,0.00070211489,-14.993115,695.26208,140.84671,0.67235273,-43.671928
109891000,0.10520298,-58.107288,0.001658981,138.6059,709.54877,137.2672,0.35836351,-130.9877
110390500,0.14399934,-84.56443,0.00025535325,5.0729818,693.5625,136.0593,0.23321928,-24.097208
110890000,0.10770424,-70.686951,0.0010869114,153.73715,702.47498,134.3671,0.25087571,-57.223259
111389500,0.1611333,-90.495316,0.0008428435,-13.369493,707.047,132.21095,0.10632526,-100.20663
111889000,0.11129401,-60.777927,0.0015530372,150.48253,715.41119,130.03473,0.31274533,-127.42013
112388500,0.12697209,-81.082069,0.00045021801,145.18698,713.099,128.50952,0.20785199,-140.85931
112888000,0.1422562,-87.463631,0.00019469406,-0.47755802,701.94305,127.0516,0.1414665,32.376564
113387500,0.19084273,-89.031113,0.0015208197,24.395788,708.96222,125.40098,0.13063185,-18.972002
113887000,0.1341601,-94.983444,0.00051281869,-73.325233,718.5213,123.61716,0.26163924,-102.19984
114386500,0.11410759,-87.411812,0.00061464903,-145.58372,723.94293,121.9768,0.35486165,-112.99837
114886000,0.17346732,-80.155052,0.0012215344,77.09214,719.659,120.34969,0.21376659,-89.834145
115385500,0.11033633,-93.338791,0.0008436967,-123.03036,709.81256,119.03118,0.12838568,23.454437
115885000,0.15385342,-104.16212,0.0012592085,-24.269402,720.16235,116.63196,0.092811465,-127.73342
