!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:32:46
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
60745000,0.14671579,0.11943737,0.0011527761,-0.00013401378,-0.1683301,13.496127,0.03568266,-0.005342715
61740000,0.17303863,0.10877424,-0.0011303368,-0.0029401928,2.8283095,15.007051,-0.030583983,-0.0031240878
62735000,0.16298442,0.078374587,-0.001501581,-0.00025614977,6.268693,15.140685,0.005252494,0.02658022
63730000,0.16582458,0.054439705,0.0013903031,-0.0018410332,10.381187,14.457417,0.013341862,-0.001094085
64725000,0.1722617,0.034249585,-0.00068516348,0.0013552973,14.591496,13.068687,-0.017668275,-0.014822398
65720000,0.1639954,0.0043455432,-0.0012035207,-0.0015974174,17.801281,9.8746128,-0.041773077,-0.0054687359
66715000,0.1544354,-0.014295839,-0.0011528066,0.00099101965,20.869131,6.6275744,0.014620862,-0.020385055
67710000,0.14847302,-0.038054727,-0.0016589968,0.0020333936,23.625504,1.9648408,-0.049840428,-0.03745402
68705000,0.15231322,-0.057406861,-0.0028742447,0.0029418771,25.036564,-3.2023857,0.044346493,0.025214881
69700000,0.13594256,-0.078800797,-0.0034836305,0.0012912656,25.429678,-8.9512854,-0.0077391425,-0.065196536
70695000,0.11657821,-0.086518712,-0.0017158518,-0.001021399,24.467411,-14.7114,-0.0095168231,-0.039095566
71690000,0.1133322,-0.099247828,0.0020046262,-0.0010513207,21.932163,-20.598139,0.0045529306,-0.0030387179
72685000,0.094319463,-0.10309378,-4.3905231e-005,0.0028282281,18.302773,-26.384092,-0.00098787399,-0.027068919
73680000,0.079360865,-0.11108474,-0.0021135483,0.00097350712,13.167333,-30.720526,0.020189943,-0.021524537
74675000,0.065474182,-0.12634858,-0.0025919406,0.00057147705,6.6668143,-34.685822,0.052527528,-0.05329245
75670000,0.052167531,-0.13331752,0.00027542989,-0.00066531333,-0.35527584,-36.963219,-0.011227381,-0.053424578
76665000,0.031783339,-0.13294055,-2.7310807e-005,-0.00032501676,-7.9676661,-38.054287,0.046080153,-0.042038545
77660000,0.01737003,-0.14101839,0.00099743076,0.0013357693,-16.224716,-36.603909,0.041659016,0.03392515
78655000,-0.00069798791,-0.13155018,-0.0037764162,-0.00042564934,-23.802725,-34.13607,0.079404339,0.054368269
79650000,-0.0031938881,-0.13857642,0.0029094017,-0.0014187616,-32.030197,-30.008194,0.058427006,-0.065611698
80645000,-0.028865535,-0.12054946,0.0032608621,-0.002919913,-37.336201,-24.224319,-0.030671382,0.051441699
81640000,-0.044000067,-0.12119661,-0.0021860031,-0.0047213803,-42.791294,-16.908934,-0.012380394,0.028678924
82635000,-0.050250124,-0.12458708,0.0012304626,-0.0014077935,-46.698322,-8.1196842,0.055360951,0.029344777
83630000,-0.054768231,-0.11482104,-0.0016826302,0.0002831181,-49.384899,0.1753961,0.084172167,-0.028064648
84625000,-0.077065185,-0.10737182,0.0052292459,-0.00087148324,-48.678776,9.8648624,-0.008947554,0.046995409
85620000,-0.085064806,-0.10166206,-0.0014035415,-0.00011642469,-47.04681,19.158432,-0.011161491,0.023870211
86615000,-0.089587852,-0.081097923,0.00036060889,-0.00083910505,-44.318623,28.103067,-0.11556238,-0.060239673
87610000,-0.10205052,-0.071581021,-0.0030331237,0.00155767,-38.856972,36.286724,-0.034075134,-0.028822197
88605000,-0.1066401,-0.070967689,7.4972493e-005,0.0081406999,-31.905396,43.494869,-0.035356823,-0.032050736
89600000,-0.12071278,-0.053454604,-0.0012606479,-0.0026105158,-24.253798,48.778622,-0.0049092872,0.0036304116
90595000,-0.11759073,-0.041409828,0.0029183642,0.0032050677,-15.167734,53.381847,-0.070040576,0.0082044434
91590000,-0.12299587,-0.026763398,0.0011280881,0.0025330917,-6.0111346,56.597126,-0.021028256,0.055576589
92585000,-0.12619781,-0.0082496796,0.0046397159,0.0033025884,3.8524806,57.110542,-0.0035281093,0.0086609814
93580000,-0.11911277,0.0090282215,-0.0012350075,-4.3348177e-006,13.790046,56.37508,-0.045782786,-0.049865361
94575000,-0.12470088,0.019626567,-0.0011916657,0.00016423319,23.064564,54.037636,-0.0037868456,-0.051445931
95570000,-0.13041867,0.025476063,0.0022460255,0.00011842624,31.782476,48.844055,0.051050853,0.034068342
96565000,-0.10841661,0.051010102,-0.0033768397,-0.00054547255,41.029373,44.622982,-0.0039324472,0.10360339
97560000,-0.098724164,0.055345107,-0.00071738282,-0.0010552675,48.641022,37.148773,-0.01363112,0.0081483815
98555000,-0.10213351,0.06270723,-0.0020183118,0.0034991757,54.354958,28.953125,-0.026430963,-0.018052435
99550000,-0.099843279,0.069051348,0.00027085803,0.0034058013,58.139118,19.896545,-0.01903503,0.0054823132
100545000,-0.088673092,0.095551975,-0.00083327352,0.0044449768,61.50613,11.537597,-0.055295061,-0.027386475
101540000,-0.075219512,0.090439096,0.00053040514,0.0011593227,63.049,0.44170457,-0.016887084,0.0071197595
102535000,-0.065888003,0.10757127,0.00092906132,-0.0030803138,62.788555,-8.9761648,-0.096805707,0.00044616646
103530000,-0.050497632,0.10758934,-0.00036527539,-0.0029470304,61.349606,-19.759001,-0.051292479,0.010270841
104525000,-0.033381321,0.10845584,5.8696118e-005,-0.00084145035,57.305305,-28.8776,0.0055193529,0.015805412
105520000,-0.039064586,0.11019228,-0.00036049509,0.00097813352,52.098408,-37.318378,-0.066264287,0.066844046
106515000,-0.015988862,0.11580087,0.00035200341,0.0033057265,46.632618,-45.844849,-0.052365899,0.016891671
107510000,-0.0053649186,0.12240789,0.0011578751,0.0037426911,39.598148,-52.648479,0.060759991,0.0054925205
108505000,0.0075492919,0.11878189,0.0062583969,-0.0046572844,30.925123,-58.36335,-0.047513191,-0.026816448
109500000,0.02676326,0.11693259,-0.0040199584,-0.0017942369,22.285896,-62.934608,-0.066061094,0.035656031
110495000,0.029965172,0.11278441,-0.00027100762,0.0022804395,12.211414,-65.582718,-0.0270715,0.043122157
111490000,0.039418645,0.11301208,-0.0014415593,0.0039764894,2.8682435,-66.758926,-0.066193938,-0.037852906
112485000,0.061559916,0.10215175,0.0011366525,-0.0029752688,-7.6638551,-66.800514,-0.095709436,0.091087379
113480000,0.070944615,0.10008553,0.00088675023,0.00068675092,-17.675501,-65.642403,0.042987701,-0.031164253
114475000,0.073613785,0.090502046,-0.00042602775,-0.0019184513,-26.819386,-62.326172,0.024597937,-0.03300881
