Frequency [Hz],Gain,phase [rad]
87913000.0,975.668961009538,-0.5203124901058611
88412500.0,1000.405108639582,-0.5813618403673366
88912000.0,1025.141256269626,-0.6424111906288121
89411500.0,1049.3312496914011,-0.7025326496502406
89911000.0,1073.2857238915597,-0.7622539721913612
90410500.0,1096.8762886934273,-0.8215124135318922
90910000.0,1119.7986962111377,-0.8799209800208077
91409500.0,1142.7128894207094,-0.9383210554990132
91909000.0,1164.3728209645699,-0.9954246189572814
92408500.0,1186.0327525084301,-1.0525281824155504
92908000.0,1206.723833540744,-1.108769776123276
93407500.0,1226.9167220212696,-1.1645681364276343
93907000.0,1246.593991752195,-1.2199537072597875
94406500.0,1265.146424401986,-1.2744387660267786
94906000.0,1283.6988570517774,-1.3289238247937696
95405500.0,1300.5297376877102,-1.3821222744479849
95905000.0,1317.3041083454166,-1.4352784911331324
96404500.0,1332.911386066313,-1.4875942159520121
96904000.0,1347.8097698473136,-1.5393994247941964
97403500.0,1362.1750768296968,-1.590824097321798
97903000.0,1375.1422050465314,-1.6412506814014483
98402500.0,1388.1093332633661,-1.6916772654810985
98902000.0,1399.2706122012996,-1.7407925187776667
99401500.0,1410.2958206876474,-1.7898089635114631
99901000.0,1420.2075476701177,-1.8379825965207475
100400500.0,1429.3255670911008,-1.8855554597495467
100900000.0,1438.0091051876636,-1.9327772970492807
101399500.0,1445.2995589535058,-1.9788736343701314
101899000.0,1452.590012719348,-2.0249699716909806
102398500.0,1458.3602381715132,-2.0697234354275373
102898000.0,1463.9457151364988,-2.114313704030216
103397500.0,1468.689471557239,-2.158069920219185
103897000.0,1472.7320515980014,-2.2011313477919585
104396500.0,1476.5060844595146,-2.24388540694771
104896000.0,1479.2022221812301,-2.2854057502112943
105395500.0,1481.8983599029455,-2.326926093474881
105895000.0,1483.6366819397615,-2.367133284256304
106394500.0,1485.2104057386448,-2.4071148130569227
106894000.0,1486.3381213496189,-2.4463262763699123
107393500.0,1487.0325907237927,-2.4847897086295503
107893000.0,1487.626031434624,-2.5230153575961825
108392500.0,1487.6936210902932,-2.5600033519072887
108892000.0,1487.761210745962,-2.596991346218395
109391500.0,1487.5220545607983,-2.6328314990104835
109891000.0,1487.2132989969502,-2.6684112112491305
110390500.0,1486.8392067761276,-2.7033739724009638
110890000.0,1486.3911314250497,-2.73763813685791
111389500.0,1485.95198064147,-2.7717550847460664
111889000.0,1485.5765378193591,-2.8048211282073363
112388500.0,1485.2010949972482,-2.8378871716686045
112888000.0,1485.0190080290804,-2.8701304711096163
113387500.0,1484.8924859519298,-2.9021373376685164
113887000.0,1484.9299904562417,-2.9337547770945522
114386500.0,1485.1843226612086,-2.9648574305082334
114886000.0,1485.477775044856,-2.9958974306176507
115385500.0,1486.1946049835713,-3.0262593662684885
115885000.0,1486.9114349222866,-3.0566213019193262
116384500.0,1487.9910889067942,-3.086556776859934
116884000.0,1489.1992251440477,-3.116341234707288
117383500.0,1490.5911650846585,3.137225844643418
117883000.0,1492.2677194332744,3.1078650189094703
118382500.0,1493.9627247077676,3.078517510225105
118882000.0,1496.037819055337,3.0494443327621554
119381500.0,1498.1129134029065,3.020371155299204
119881000.0,1500.3906767188232,2.9914215117963754
120380500.0,1502.7552153828738,2.9625247609612484
120880000.0,1505.1732841053315,2.933661541555573
121379500.0,1507.6889931675416,2.9048594844251068
121879000.0,1510.2046627579452,2.8760577857387983
122378500.0,1512.7154427782605,2.84730048932277
122878000.0,1515.2262227985757,2.81854319290674
123377500.0,1517.6263645728,2.7898035208501324
123877000.0,1519.9699950916495,2.76107285087654
124376500.0,1522.2112110703752,2.7323542865476242
124876000.0,1524.2305559296883,2.7036619479180275
125375500.0,1526.249900789002,2.6749696092884325
125875000.0,1527.8170644686918,2.646351395242555
126374500.0,1529.3701084263855,2.6177354957965844
126874000.0,1530.558461142799,2.5892047407432544
127373500.0,1531.5267112802053,2.560725372995917
127873000.0,1532.3081082634367,2.5323052950519984
128372499.99999999,1532.603080489135,2.5040395630616157
128872000.0,1532.8980527148335,2.475773831071232
129371499.99999999,1532.5155838622627,2.4477898980023665
129871000.0,1532.0832442801257,2.419826709937397
130370499.99999999,1531.2151091379885,2.392096500322135
130870000.0,1530.0382466581348,2.3645313378599995
131369499.99999999,1528.688040641724,2.337084587117849
131869000.0,1526.7866166847973,2.310014375736307
132368499.99999999,1524.8851927278708,2.282944164354767
132868000.0,1522.386246553365,2.256399446761034
133367499.99999999,1519.8158120104351,2.229917599956711
133867000.0,1516.9273995254334,2.203804214766388
134366500.0,1513.775702468085,2.1779959144440224
134866000.0,1510.5302900380407,2.1523375440164654
135365500.0,1506.91223354197,2.127275345636399
135865000.0,1503.2941770458992,2.102213147256331
136364500.0,1499.3933474999942,2.0778366311640633
136864000.0,1495.4445061364938,2.053576536537522
137363500.0,1491.4029758749043,2.0297429356466474
137863000.0,1487.2719481676925,2.0063211435128374
138362500.0,1483.136201606663,1.9830380044158091
138862000.0,1478.9761638381365,1.9604686084896454
139361500.0,1474.81612606961,1.9378992125634835
139861000.0,1470.7540465754428,1.9160184495979142
140360500.0,1466.7139724184215,1.8942923810730776
140860000.0,1462.7944222538479,1.8729481233303749
141359500.0,1459.0105256892846,1.852033605808416
141859000.0,1455.2728862132344,1.8312135134282248
142358500.0,1451.8609078090292,1.8110581968449098
142858000.0,1448.4489294048237,1.7909028802615947
143357500.0,1445.3956911348528,1.7712846406696099
143857000.0,1442.4446534304545,1.7518194075774027
144356500.0,1439.7179282529576,1.7326175674133588
144856000.0,1437.285913627596,1.7137617831578216
145355500.0,1434.90076096965,1.6949510681282747
145855000.0,1433.0131080355404,1.6766188205792862
146354500.0,1431.125455101431,1.6582865730302978
146854000.0,1429.6357231777954,1.6402791419566651
147353500.0,1428.28580861293,1.6223858415282444
147853000.0,1427.1337939846644,1.604635104941201
148352500.0,1426.286298826822,1.5871037391443878
148852000.0,1425.4600160019238,1.5695866049926015
149351500.0,1425.0563139458923,1.552352986072917
149851000.0,1424.6526118898607,1.5351193671532326
150350500.0,1424.5076952139625,1.5180612556509367
150850000.0,1424.4727900120724,1.501077753578571
151349500.0,1424.5393093399737,1.484172832540191
151849000.0,1424.7896204794256,1.4674103085197623
152348500.0,1425.0418425575692,1.4506497854761276
152848000.0,1425.4931039868006,1.4340976799626284
153347500.0,1425.9443654160316,1.417545574449131
153847000.0,1426.4774424713073,1.4011373247340821
154346500.0,1427.0520291520183,1.3848020610804874
154846000.0,1427.64518594089,1.3685420889717599
155345500.0,1428.278294823659,1.3524441005652368
155845000.0,1428.911403706428,1.3363461121587137
156344500.0,1429.555341642178,1.3205081752087247
156844000.0,1430.199600459426,1.304677943983418
157343500.0,1430.8338428953123,1.289037594454943
157843000.0,1431.4620787101899,1.2735111131337722
158342500.0,1432.0841252582352,1.2580796523371984
158842000.0,1432.6901796289312,1.2428937109409515
159341500.0,1433.2962339996275,1.2277077695447045
159841000.0,1433.8944212662698,1.2128703801602172
160340500.0,1434.4920429792946,1.1980580476263598
160840000.0,1435.1027842150331,1.1834798443329988
161339500.0,1435.7227622661244,1.1690664800059776
161839000.0,1436.3585909669255,1.1547526509266413
162338500.0,1437.0444101783512,1.1407527407053935
162838000.0,1437.7302293897772,1.1267528304841457
163337500.0,1438.5203541587193,1.113124173766796
163837000.0,1439.3227621835254,1.0995392366928436
164336500.0,1440.2176303224378,1.0861751898657777
164836000.0,1441.1885924603685,1.0729929340995619
165335500.0,1442.2032064661992,1.0598870172913597
165835000.0,1443.389784010964,1.0470818325711506
166334500.0,1444.576361555729,1.0342766478509433
166834000.0,1445.978851420594,1.0217625738754337
167333500.0,1447.4175580217943,1.009297330281996
167833000.0,1448.995795971037,0.9969822222892977
168332500.0,1450.7079539046445,0.9848112120752366
168832000.0,1452.465482130349,0.972680215225028
169331500.0,1454.4540115383786,0.9607529449529744
169831000.0,1456.4425409464077,0.9488256746809207
170330500.0,1458.6432808419502,0.9370560535884781
170830000.0,1460.8912146880655,0.9253214924390076
171329500.0,1463.2443545755725,0.9136555561565562
171829000.0,1465.7151958137358,0.9020663953085751
172328500.0,1468.2073110789202,0.8904905333164614
172828000.0,1470.8471602931781,0.8790070230212561
173327500.0,1473.4870095074364,0.8675235127260489
173827000.0,1476.205896653046,0.8560996659035376
174326500.0,1478.9471051656612,0.844692668842248
174826000.0,1481.6990517368981,0.8333116981333969
175325500.0,1484.4650203662204,0.8219647133654377
175825000.0,1487.2261448175932,0.8106227238052512
176324500.0,1489.9368067752412,0.7993327700380103
176824000.0,1492.647468732889,0.7880428162707712
177323500.0,1495.2593933043997,0.776802785741959
