!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 13:56:57
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG)
52785000,-0.038376343,-0.25649008,0.00062943168,0.0012125552,-0.11023732,-0.21293919,-0.020245006,0.0057451683
53780000,-0.09909866,-0.24504845,0.0011744768,0.0015154147,-0.20718919,-0.06913922,-0.012087631,0.015108812
54775000,-0.14274222,-0.20224753,-0.00111776,0.0005030458,-0.22876294,0.028238738,0.00013693776,0.020632625
55770000,-0.17527996,-0.15603255,0.0010151652,-0.0013913268,-0.24548982,0.18977426,-0.012149162,0.011260565
56765000,-0.20540725,-0.10112015,-0.0038257607,-0.0036398906,-0.087071449,0.24940991,-0.006406588,0.014889806
57760000,-0.21607821,-0.051589556,0.0012033326,-0.00180466,0.093122497,0.2506997,-0.010373016,0.017012153
58755000,-0.21560863,0.021248849,0.00097580178,0.00057508331,0.2190409,0.15734634,-0.0034832675,0.014671425
59750000,-0.2047061,0.060257073,-0.0010464935,0.0026504707,0.28882384,0.06800063,-0.016346345,0.010454065
60745000,-0.17303102,0.10952135,0.0011919483,-0.0016166499,0.27328226,-0.12564632,-0.0057396037,0.0023699224
61740000,-0.1439669,0.15576342,-0.0024790459,0.0034496763,0.24160276,-0.25031278,0.00035532212,0.0091284662
62735000,-0.095488712,0.18831922,0.0013336472,0.0018666666,0.020388152,-0.37442049,0.013989151,0.0049069049
63730000,-0.062410802,0.21131806,0.00064392039,-0.0028147551,-0.2229908,-0.32003513,0.0043190829,0.0046883128
64725000,0.0094762957,0.21926491,-0.0030294682,0.0022559993,-0.42221671,-0.14617053,0.0064747729,-0.00064154976
65720000,0.066093586,0.22123455,-0.0017856999,0.00122783,-0.35675892,0.025335742,0.0026602333,0.016166262
66715000,0.1129753,0.19478235,-0.0018757444,-0.0006305853,-0.23634505,0.19830212,-0.002871932,0.0093668252
67710000,0.1670285,0.17604747,-0.0047978172,0.00068875746,-0.03672586,0.33896092,0.0078204274,0.0035478459
68705000,0.20747209,0.13820973,-0.0032374584,0.0010041967,0.078900836,0.346623,0.019451912,0.0096368855
69700000,0.25476366,0.088526316,-0.0018939784,-0.00046123593,0.28986719,0.2263944,0.015410118,0.012065063
70695000,0.26310793,0.047259461,0.0012840263,0.00067944423,0.28528619,0.085984752,0.008636809,0.016261289
71690000,0.29135609,-0.007523065,-0.0039302888,-0.0011024571,0.27262515,-0.10880365,0.016022073,0.0072076172
72685000,0.29026389,-0.074589215,0.0019756739,0.00048125294,0.16792409,-0.2145263,0.015997982,0.0074838544
