!CSV A.01.01
!Keysight Technologies,P5024A,MY58100101,A.13.90.09
!Date: Friday, January 24, 2020 14:13:22
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),B(DB),B(DEG)
523100000,-64.749405,0
525870000,-64.680969,0
526590000,-64.650162,0
529340000,-65.401108,0
531070000,-65.944511,0
533370000,-65.650742,0
534600000,-65.15097,0
536610000,-65.225487,0
540190000,-65.502342,0
541620000,-66.286049,0
543250000,-65.527603,0
545110000,-65.155739,0
546630000,-65.624649,0
548720000,-65.648285,0
551440000,-65.913696,0
553140000,-65.864983,0
555720000,-65.957466,0
558040000,-66.015877,0
558990000,-65.662964,0
560580000,-66.224823,0
562920000,-66.349518,0
565820000,-66.401093,0
567860000,-65.47541,0
568360000,-66.040977,0
571780000,-66.510696,0
573070000,-66.038895,0
574530000,-66.180786,0
577050000,-66.003113,0
578660000,-66.595261,0
581140000,-66.543404,0
582230000,-66.837036,0
584640000,-66.935387,0
586470000,-66.675545,0
589660000,-66.750389,0
591530000,-66.856918,0
592350000,-66.778603,0
594280000,-66.291451,0
597120000,-66.663033,0
599100000,-67.226807,0
601420000,-67.473915,0
603910000,-66.738869,0
604210000,-66.74395,0
606050000,-66.657501,0
609570000,-66.743874,0
610400000,-67.866302,0
613370000,-67.500648,0
614520000,-67.026085,0
617480000,-66.820053,0
618450000,-66.681747,0
620820000,-67.78212,0
622970000,-67.165825,0
624650000,-67.062775,0
627250000,-66.765869,0
628330000,-66.81916,0
630590000,-67.741493,0
632650000,-67.658951,0
634290000,-67.193718,0
637460000,-66.772728,0
637930000,-67.564247,0
640490000,-67.097168,0
643550000,-67.894066,0
645380000,-67.90876,0
647220000,-67.875458,0
648460000,-67.748215,0
650690000,-67.372932,0
652170000,-67.501137,0
654300000,-68.272133,0
656940000,-67.840889,0
657970000,-67.882576,0
661350000,-68.286591,0
662800000,-67.998985,0
665100000,-67.742477,0
666130000,-68.104424,0
669520000,-68.439438,0
669730000,-68.729118,0
673630000,-68.278694,0
675590000,-68.233543,0
676220000,-68.095871,0
678200000,-68.461067,0
679690000,-69.450409,0
682730000,-68.634743,0
685490000,-68.867783,0
686740000,-68.325485,0
689320000,-68.985466,0
690940000,-69.438911,0
693550000,-68.937996,0
694760000,-68.874077,0
