Frequency [Hz],Gain,phase [rad]
1000000.0,0.538725898291452,-0.40495100180414123
1499500.0,0.18366297689050756,-0.3322322960715398
1998999.9999999998,0.14275608475455956,-0.11525047309020371
2498500.0,0.12404534369761426,-0.1123057621652496
2998000.0,0.15478289397822123,-0.5861900940928826
3497500.0,0.18552044425882822,-1.0600744260205155
3997000.0000000005,0.2009592114270642,-1.0238596074812687
4496500.0,0.2158219402802407,-0.9684382512069664
4996000.0,0.2051583696553692,-0.8063342047265953
5495500.0,0.1786908340376057,-0.578180259285579
5995000.0,0.15227801372625696,-0.43983330220329003
6494500.0,0.1260119918084321,-0.5424339424594877
6994000.0,0.09974596989060724,-0.6450345827156856
7493500.0,0.07177575688018176,-0.3405344709773019
7993000.0,0.04366821316516055,-0.0032285117282669917
8492500.0,0.050835698926511956,0.48353377906009004
8992000.0,0.08361757974176545,1.0788213801368292
9491500.0,0.10578990780779796,1.5781022097121158
9991000.0,0.09308276202875138,1.7617556273985024
10490500.0,0.08037561624970478,1.945409045084889
10990000.0,0.07117193471418852,2.2784878534231625
11489500.0,0.062413968939978984,2.630576774930406
11989000.0,0.06560117864534688,3.006783474915527
12488500.0,0.07892134479361258,-2.8797362952167616
12988000.0,0.09182242350790801,-2.5049759803332297
13487500.0,0.10299281637485755,-2.2206766406754195
13987000.0,0.1141632092418071,-1.9363773010176086
14486500.0,0.10019266987611623,-2.016976869142809
14986000.0,0.08174538432277353,-2.1625525399510703
15485500.0,0.06900141246874676,-2.328815643310146
15985000.000000002,0.061898298912649696,-2.515539636902408
16484500.000000002,0.05691925779488108,-2.6513934944696778
16984000.0,0.06337491973967953,-2.513393744362463
17483500.0,0.06983058168447796,-2.3753939942552487
17983000.0,0.07945335065018631,-2.360598767041782
18482500.0,0.08981631721232222,-2.3745981751572964
18982000.0,0.09709196200580426,-2.3523338797794096
19481500.0,0.10080787157034275,-2.288256909037364
19981000.0,0.10328703186498232,-2.2744401054251053
20480500.0,0.09655463258699222,-2.6349712273905204
20980000.0,0.08982223330900213,-2.9955023493559354
21479500.0,0.07448055287055148,2.988773725821164
21979000.0,0.05660016671077258,2.708035563120772
22478500.0,0.05138204599959156,2.7077301260709845
22978000.0,0.06321300025824933,3.0850126161596862
23477500.0,0.07393478432535812,-2.842993559350367
23977000.0,0.0719149758170474,-2.7417267575210453
24476500.0,0.06989516730873668,-2.640459955691724
24976000.0,0.07105435855305905,-2.495927697308847
25475500.0,0.07336570688468079,-2.3357148455688526
25975000.0,0.07274100404936223,-2.3629855667861017
26474500.0,0.06748302304995585,-2.6861174618442787
26974000.0,0.06261343658448558,-2.9942350131958557
27473500.0,0.06664901581028303,-2.958101534292457
27973000.0,0.07068459503608047,-2.921968055389059
28472500.0,0.07967473049586098,-2.4913228021989338
28972000.0,0.09083203875439097,-1.8881141254359053
29471500.0,0.09925110479056923,-1.600955479568879
29971000.0,0.10257590344242946,-1.9017811073587814
30470500.0,0.10585173067689412,-2.2017435902434155
30970000.0,0.09519868762068874,-2.2562030007866642
31469500.000000004,0.08454564456448327,-2.310662411329913
31969000.000000004,0.0820559230570759,-2.2536347222517854
