Frequency [Hz],Gain,phase [rad]
1000000.0,-0.03858090873551004,-3.7029683013217505
1499500.0,-0.01988934423570643,-3.451323398796027
1999000.0,-0.004054949156231696,-3.2016821721105497
2498500.0,0.00916996058401566,-2.9548629762093683
2998000.0,0.020025250112358874,-2.711647090300872
3497500.0,0.028742965602342935,-2.4727787178577865
3997000.0,0.03554733427373458,-2.2389649866171766
4496500.0,0.040654764392522275,-2.0108759485804453
4996000.0,0.044273845270916226,-1.789144580013333
5495500.0,0.0466053472673484,-1.5743667814459186
5995000.0,0.047842221786472516,-1.3671013776726202
6494500.0,0.04816960127916396,-1.1678701177521922
6994000.0,0.04776479924251999,-0.977157675007728
7493500.0,0.04679731021985943,-0.7954116470266599
7993000.0,0.04542880980072313,-0.6230425556607568
8492500.0,0.04381315462087333,-0.46042384702612704
8992000.0,0.04209638236229429,-0.3078918915032167
9491500.0,0.040416711753191864,-0.1657459837368096
9991000.0,0.03890454256799375,-0.03424834263602872
10490500.0,0.03768245562734922,0.08637588862566625
10990000.0,0.036865212798129626,0.19593864261047633
11489500.0,0.03655975699342763,0.294288927616265
11989000.0,0.03686521217255799,0.3813128276765556
12488500.0,0.03787288334105683,0.4569335025605388
12988000.0,0.039666256550682566,0.5211111877730601
13487500.0,0.042320998899414874,0.5738431945546325
13987000.0,0.045904958531455264,0.6151639098814257
14486500.0,0.05047816463722733,0.6451447964652774
14986000.0,0.05609282745337596,0.6638943927536816
15485500.0,0.06279333826276787,0.6715583129297973
15985000.0,0.07061626939449211,0.6683192469124442
16484500.0,0.07959037422385849,0.6543969603561037
16984000.0,0.08973658717239882,0.6300482946509187
17483500.0,0.10106802370786766,0.5955671669226974
17983000.0,0.1135899803442402,0.5512845700329057
18482500.0,0.13168700332389804,0.38448053847187325
18982000.0,0.14078881068347437,0.2360247906396199
19481500.0,0.17300016813822205,0.07641351761659018
19981000.0,0.1916152515882193,-0.04246981469960799
20480500.0,0.20684807798791216,-0.13236717035705423
20980000.0,0.23838014140094616,-0.15433235243041313
21479500.0,0.2615104391101257,-0.24634528880547327
21979000.0,0.27394182724380484,-0.3656177372500009
22478500.0,0.293036189007597,-0.5880663717201364
22978000.0,0.30163438548838073,-0.7705927863048
23477500.0,0.3424547696456124,-0.8703126070560957
23977000.0,0.36452618699472444,-0.9255301440510322
24476500.0,0.396202293523021,-0.9493518053680703
24976000.0,0.42762422418749546,-0.9892860414681843
25475500.0,0.4498920933164634,-1.077784716182977
25975000.0,0.4554847489860676,-1.1181410958881313
26474500.0,0.47799593832364584,-1.159871974847625
26974000.0,0.496361845059092,-1.2118067203188376
27473500.0,0.5095782517248794,-1.2764306841914101
27973000.0,0.5355831512457153,-1.3343602419993306
28472500.0,0.564809019322561,-1.4558228268972244
28972000.0,0.5985776418563097,-1.5093341543923853
29471500.0,0.6272785210279141,-1.5704469597669757
29971000.0,0.6524914443633568,-1.6442334995764607
30470500.0,0.6626821082869951,-1.6992342062908854
30970000.0,0.6929223222962196,-1.770936823408124
31469500.0,0.7071388687049159,-1.8485639326880041
31969000.0,0.7082660367939843,-1.9424084710804843
32468500.0,0.7258289551683319,-1.9873386754079512
32968000.0,0.7676652140032677,-2.021485708443338
33467500.0,0.7998498769471456,-2.0833431966722307
33967000.0,0.8003985047234489,-2.1437467270532333
34466500.0,0.7968705298443451,-2.194473236822028
34966000.0,0.8398944749535743,-2.2384383950487927
35465500.0,0.8440419560241719,-2.273141567162988
35965000.0,0.8720576810441893,-2.3100927101183775
36464500.0,0.945636342921818,-2.3366996004800247
36964000.0,0.9995703510625326,-2.3693189190326134
37463500.0,1.0251230404812999,-2.3927848760836463
37963000.0,1.0489420136747256,-2.4213940624946284
38462500.0,1.096776082847608,-2.463990542648828
38962000.0,1.1717695523473273,-2.4963172831769205
39461500.0,1.2562689944120573,-2.5212041679676895
39961000.0,1.346814907092915,-2.556520716391965
40460500.0,1.4804794641114423,-2.6045656393905485
40960000.0,1.5827835343431134,-2.6371538724081587
41459500.0,1.7196940566432817,-2.67534518617386
41959000.0,1.865838320936123,-2.710942951812148
42458500.0,2.0637932859431194,-2.7585394361144107
42958000.0,2.26380411153532,-2.8119592109011853
43457500.0,2.491446511167467,-2.8720572279490115
43957000.0,2.6909281044331235,-2.9269268572449643
44456500.0,2.988945154397416,-2.9951262472053943
44956000.0,3.3258706744927258,-3.06521279117248
45455500.0,3.6565393276542184,-3.1395256786280203
45955000.0,4.012767538020684,-3.220739871180423
46454500.0,4.454021242931656,-3.304259799455562
46954000.0,5.042360016102483,-3.394112128779241
47453500.0,5.508576621779305,-3.4839906320251623
47953000.0,6.029901743881814,-3.5820986251067084
48452500.0,6.667384490280892,-3.6335143368472917
48952000.0,7.535428855205621,-3.701482975620699
49451500.0,8.27500822817475,-3.7924361532681434
