,gain,el_ampl,el_cst,f0,best_fit_template,gof_method,gof_value
0,860.6290551386659,0.7897777804727586,1.0,0.403570580336595,ch2,reduced_chi2,0.00010832389382014207
1,788.2396175975703,0.31263541085067215,1.0,0.3961981984338889,ch2,reduced_chi2,0.00014550631894598938
2,759.9796991226614,0.5471950276529092,1.0,0.4020860155571791,ch2,reduced_chi2,0.00010309047020689998
3,517.8923741838237,0.07264742991566761,1.0,0.4126761791298664,ch2,reduced_chi2,0.00017573976877957687
4,1773.7518807034205,0.27507975329376133,1.0,0.4079876487254726,ch2,reduced_chi2,0.0004814870091149866
5,565.7160342196418,0.7363352018085175,1.0,0.40824486426908996,ch9_6dB,reduced_chi2,6.716548886594409e-05
6,479.9494865188301,0.6837570133171584,1.0,0.4089751830426518,ch9_6dB,reduced_chi2,4.805316993657911e-05
7,820.6267714421632,0.4482971592933648,1.0,0.4030214108874246,ch9_6dB,reduced_chi2,0.00016004285954663723
8,1276.1850311713401,0.5296368727786926,1.0,0.40006094687654453,v3_ch14,reduced_chi2,0.00031607064541080884
9,1334.7238099380995,0.8753852193836791,1.0,0.3948391464579367,ch9_6dB,reduced_chi2,0.0004481255730382119
10,1225.7566182745095,0.6680083880422907,1.0,0.40081574931401226,ch9_6dB,reduced_chi2,0.0004534173913545825
11,989.1486767998449,0.014264910984920387,1.0,0.3881938019304724,ch9_6dB,reduced_chi2,0.00015079435783920601
12,1045.1264020800375,1.0417496879166923,1.0,0.3855550434038421,surface_query,reduced_chi2,0.000240844532450825
13,1093.5257473285208,0.49222186278148544,1.0,0.3392479380450011,surface_query,reduced_chi2,0.0010837022596804848
14,1098.638186899896,0.991735884386889,1.0,0.38855534818104387,surface_query,reduced_chi2,0.0002948483019545208
15,1160.9883066707348,1.0114248520490543,1.0,0.38324596577333603,surface_query,reduced_chi2,0.0002875466462571435
16,1108.2313519145007,-0.09226634309962206,1.0,0.3759384175699786,v3_ch14,reduced_chi2,0.0010522435287397894
17,1113.6150951954953,0.9992684694625137,1.0,0.3849505479380099,surface_query,reduced_chi2,0.0002640753597296
18,1135.4751691839272,1.1212821310289525,1.0,0.3856714805378956,surface_query,reduced_chi2,0.0002864961768215883
19,1093.0971051942988,0.6680133406066281,1.0,0.26774534027669594,surface_query,reduced_chi2,0.0006991332024593558
20,1154.6728972688288,1.075048054791308,1.0,0.38547251015626194,surface_query,reduced_chi2,0.0002971613085792362
21,1249.6171888947674,0.28600070389232307,1.0,0.41007254174074587,ch2,reduced_chi2,0.00026885974084293277
22,1323.8723880490224,1.212567324037041,1.0,0.3948910050235608,v2_ch11,reduced_chi2,0.0005796604586312429
23,769.7010242609854,0.3478120769396405,1.0,0.40606448400537537,ch9_6dB,reduced_chi2,0.00014162268542591708
